"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"total_equity","40200","42594","42172","43623","42384","43144","44886","49396","47191","47721","49918","53171","53314","56372","58763","61573","59911","62286","63079","64608","63230","66793","65539","67476","64191","69148","69952","72955","68927","67219","68387","71655","68415","73276","71764","76165","74391","75141","79093","82257","76390","77181","80014","82830","78199","82823","84053","85937","79990","82124","82630","83611","77758","79144","80475","80535","76114","79046","78906","80822","78324","73812","79469","79634","74910","77131","78307","81552","74110","81197","87504","87531","84592","87127","90757","91891","85860","85847","80383"
"total_liabilities_and_equity","96473","98786","104821","105405","107580","110059","118089","120154","122215","124765","131799","138187","140485","144788","151119","151587","155422","156949","165064","163514","167483","166895","167843","163429","162090","168942","172934","170407","174371","176944","186890","180782","186065","193656","195039","193406","197100","195661","205818","203105","202187","200969","209876","204751","202746","203985","207889","203490","200747","198620","205144","199581","198705","197886","206857","198825","199718","201566","209414","204522","204927","206062","226583","219295","234544","234861","239830","236495","232892","237382","250863","252496","236581","238552","244851","244860","246142","247199","247656"
"cfo_net_income","1830","2282","2028","2721","2166","2651","2286","3379","2461","2904","2422","3621","2660","2985","2594","3950","2826","3072","2855","4516","3151","3531","3145","3907","3147","3560","3265","4990","3444","3747","3590","5178","3578","3937","3501","5392","3894","4161","3786","5863","3932","4205","3870","4544","3711","4089","3826","5188","3283","3635","3414","4748","3216","3889","3202","3986","3152","3104","1904","2363","2276","-727","1817","3813","3906","3680","3321","4294","4074","6439","5201","-2008","2811","4364","3132","3633","2103","5147","-1767"
"cfo_da","888","954","971","1039","1037","1031","1093","1024","1132","1153","1174","1186","1294","1348","1371","1446","1488","1572","1596","1661","1628","1738","1688","1685","1700","1757","1798","1902","1864","1884","1887","2006","1985","2042","2040","2039","2106","2127","2071","2174","2187","2215","2198","2270","2250","2277","2354","2292","2319","2339","2365","2431","2388","2517","2469","2706","2551","2618","2658","2702","2678","2654","2615","2731","2714","2722","2723","2828","2791","2771","2771","2819","2661","2641","2650","2706","2680","2699","2755"
"cfo_receivables","554","-234","140","-87","137","-67","-114","-258","185","-135","-146","-370","219","-85","-31","-317","62","193","-224","-595","450","128","-184","-495","419","156","-35","-837","-97","-327","334","-643","341","-22","180","-1295","494","134","-127","-1115","567","-122","-254","-757","613","91","-245","-1028","782","-99","100","-802","494","-51","-172","-673","726","-141","-1114","-545","1134","-877","-79","-546","970","8","-317","-507","924","-101","-658","-1251","828","-376","-1294","-954","837","37","-933"
"cfo_inventory","-1521","395","-5504","4657","-1630","340","-5342","4117","-1917","799","-5564","4921","259","-125","-6332","4924","-1280","1216","-4973","4262","-213","308","-5750","5471","153","1239","-4660","5481","-2195","109","-5910","4791","-1713","707","-6351","3630","-150","387","-6696","3700","584","-15","-6799","4563","-423","20","-6526","5700","-1475","1248","-6410","5934","264","791","-6571","6537","66","167","-6679","6306","547","-106","-7720","5968","-421","641","-7778","7258","2221","245","-10726","5865","-1487","-1238","-9938","899","-4699","969","-5278"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","871","290","3696","-374","-990","170","4369","-871","696","-446","2927","856","-545","-261","4332","-806","-1719","-1333","3951","1000","-1376","600","945","1457","-1656","-336","1757","2635","-1347","3099","1332","-841","-2008","585","2745","1424","-348","-647","4298","-990","-2154","-457","2304","-283","-781","-693","4548","1019","-543","-1523","5913","-845","-14","1765","4814","-851","-942","-807","7290","-1084","-3534","4","7664","-2160","-3022","129","4663","-1951","-2243","5027","7823","846","-4580","3126","8662","-245","-6540","3664","7464"
"cfo_change_in_working_capital","-96","451","-1668","4196","-2483","443","-1087","2988","-1036","218","-2783","5407","-67","-471","-2031","3801","-2937","76","-1246","4667","-1139","1036","-4989","6433","-1084","1059","-2938","7279","-3639","2881","-4244","3307","-3380","1270","-3426","3759","-4","-126","-2525","1595","-1003","-594","-4749","3523","-591","-582","-2223","5691","-1236","-374","-397","4287","744","2505","-1929","5013","-150","-781","-503","4677","-1853","-979","-135","3262","-2473","778","-3432","4800","902","5171","-3561","5460","-5239","1512","-2570","-300","-10402","4670","1253"
"cfo_deferred_tax","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","261","861","-292","-149","-10","438","-412","128","347","119","-873","26","53","-312","-270","-159","-237","-591","315","-122","155","1134","-406","2","92","137","-535","-50","-67","-229","-153","124","117","333","-254","84","388","774","665","-155","-230","-1017","647","-69","180","-83"
"cfo_stock_comp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_noncash_items","31","-22","161","230","147","-119","283","205","-44","-320","833","-87","-147","-342","871","973","470","-369","220","175","139","80","418","696","-192","-52","420","-362","-696","534","1013","887","-429","224","230","443","-413","9","542","464","-350","184","631","473","543","124","-75","193","239","293","112","766","-33","-328","-26","593","-170","942","1504","2070","2110","5053","2145","792","-708","325","409","-952","-834","-2830","-1261","6258","2780","1278","1673","1204","1930","302","4300"
"cf_cfo","2653","3665","1492","8186","867","4006","2575","7596","2513","3955","1646","10127","3740","3520","2805","10170","1847","4351","3425","11019","3779","6385","262","12721","3571","6324","2545","13809","973","9046","2246","11378","1974","7734","3206","11341","5434","6161","4312","9684","4894","6357","2069","9937","5939","5961","3570","13094","4446","5656","4903","12547","6193","8738","4850","11892","5385","5975","5700","11277","5161","5934","6213","10445","3563","7622","3354","10716","7017","11939","3924","13194","2858","9565","3868","7890","-3758","12998","6458"
"cfi_ppe_net","-1996","-2650","-2757","-2905","-2645","-3049","-3566","-3543","-2772","-3683","-3925","-4150","-2953","-3765","-4437","-4117","-2987","-3665","-3766","-3562","-2321","-2261","-2813","-3390","-2475","-3137","-3141","-3299","-2440","-2988","-3649","-3133","-2295","-3264","-3630","-3741","-2325","-3039","-3214","-3788","-2933","-3021","-3031","-3403","-2109","-2914","-2761","-3820","-2135","-2622","-3104","-2981","-2120","-2239","-2317","-3487","-1794","-2417","-2396","-3066","-1620","-2457","-2629","-3119","-2163","-2580","-2804","-2837","-1692","-1794","-2853","-3710","-2142","-2701","-3455","-4414","-3504","-3916","-4515"
"cfi_acquisitions_net","","","","","-315","","","","","","","","-68","","","","-466","-1","-251","-877","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-88","-275","-9","-3","","","","","777","","","","-10","-165","-5","","7935","-248","","","-598","-18","-114"
"cfi_investment_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","142","1548","-3","309","178","97","368","124","276","48","-39","59","58","-31","485","365","11","-72","-26","-8","88","-33","543","-555","-208","72","228","340","204","-357","-59","229","426","-3759","-292","-54","-111","-223","-440","503","-49","-34","-73","18","-12","695","-56","-148","22","133","139","-127","1","-58","-4317","641","21","1011","93","-156","-62","-289","-13497","-363","251","-109","343","-6","6","21","-15","146","57","-499","-477","-71","-456","-92","248"
"cf_cfi","-1854","-1102","-2760","-2596","-2782","-2952","-3198","-3419","-2496","-3635","-3964","-4091","-2963","-3796","-3952","-3752","-3442","-3738","-4043","-4447","-2233","-2294","-2270","-3945","-2683","-3065","-2913","-2959","-2236","-3345","-3708","-2904","-1869","-7023","-3922","-3795","-2436","-3262","-3654","-3285","-2982","-3055","-3104","-3385","-2121","-2219","-2817","-3968","-2113","-2489","-2965","-3108","-2119","-2297","-6634","-2846","-1861","-1681","-2312","-3225","-1682","-2746","-16126","-3482","-1135","-2689","-2461","-2843","-1696","-1938","-2873","-3564","5850","-3448","-3932","-4485","-4558","-4026","-4381"
"cff_common_stock_net","-816","-631","-1658","-1941","-1943","-1565","-890","-151","-1415","-2165","","","","","","","-943","-1541","-2795","-2412","-1375","-809","-1337","","-886","-1906","-2313","-2171","-2967","-4145","-3860","-3804","-2129","-1411","-1417","-1341","-1589","-1840","-1228","-2943","-2246","-1850","-1710","-877","-626","-307","-82","","-280","-1003","-437","-2392","-2735","-2117","-1402","-2044","-2185","-2262","-2209","-1640","-539","-1305","-2317","-3249","-2135","-1572","-1122","-888","-723","","-463","-1439","-2809","-2391","-2168","-2419","-2408","-3339","-2961"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","320","473","1952","-1804","2872","2143","2037","-3011","1697","3504","1979","-3162","-585","2017","1203","-2727","2926","944","3907","-3300","3052","-3104","3505","-6371","1124","1083","1934","-6007","6233","1681","6712","-6807","5292","1098","2911","-5816","1223","399","2638","-2773","3338","471","4347","-5141","-1184","-1249","1827","-4412","-1613","-1230","1999","-2314","-821","-1932","3149","-3987","-31","278","2374","-4058","-20","8060","7372","-3377","3215","-1166","1254","-4374","3542","-6657","-1318","-1273","-372","-2197","-3268","-35","10069","-1278","1190"
"cff_dividend_paid","-395","-393","-392","-389","-558","-554","-552","-550","-635","-627","-625","-624","-698","-710","-710","-684","-908","-903","-896","-879","-940","-938","-936","-932","-1067","-1062","-1050","-1038","-1136","-1124","-1101","-1076","-1274","-1267","-1259","-1248","-1352","-1346","-1336","-1327","-1549","-1543","-1533","-1514","-1547","-1547","-1545","-1546","-1579","-1578","-1571","-1566","-1573","-1560","-1549","-1534","-1549","-1539","-1526","-1510","-1533","-1534","-1530","-1505","-1520","-1516","-1509","-1503","-1529","-1529","-1524","-1534","-1549","-1542","-1536","-1525","-1543","-1538","-1519"
"cff_other","-69","-44","43","181","106","-141","-70","218","-156","-266","-193","266","-87","-306","-31","-1804","-276","-159","-234","47","54","-320","101","432","-674","-46","-63","-49","-294","-293","-36","-11","-223","-292","-313","231","-89","-184","10","-209","-298","-199","-264","-221","-1820","-475","-303","-255","-223","-1268","-476","-754","-303","-173","-256","-235","-207","-1136","-1424","-1251","-394","-255","-84","-327","-406","-431","-305","-321","-725","-193","-221","-531","-669","-30","418","-736","-803","-560","-891"
"cf_cff","-960","-595","-55","-3953","477","-117","525","-3494","-509","446","1161","-3520","-1370","1001","462","-5215","799","-1659","-18","-6544","791","-5171","1333","-6871","-1503","-1931","-1492","-9265","1836","-3881","1715","-11698","1666","-1872","-78","-8174","-1807","-2971","84","-7252","-755","-3121","840","-7753","-5177","-3578","-103","-6213","-3695","-5079","-485","-7026","-5432","-5782","-58","-7800","-3972","-4659","-2785","-8459","-2486","4966","3441","-8458","-846","-4685","-1682","-7086","565","-8379","-3526","-4777","-5399","-6160","-6554","-4715","5315","-6715","-4181"
"ebitda","3978","4746","4370","5785","4642","5435","4877","6531","5073","5883","5272","7079","5789","6452","5836","7878","6338","6855","6557","8537","6945","7551","6980","8031","6917","7686","7240","9360","7601","8074","7498","10010","7881","8425","7918","10373","8493","8825","8164","10754","8625","8992","8508","9617","8443","9017","8619","10241","7999","8408","8079","9073","7663","8682","7588","8911","7788","8587","7422","7169","7832","8404","7601","8798","7659","8305","7441","8150","8015","8830","8549","8306","9570","9995","8442","8593","7998","9553","5450"
"capex","-1996","-2650","-2757","-2905","-2645","-3049","-3566","-3543","-2772","-3683","-3925","-4150","-2953","-3765","-4437","-4117","-2987","-3665","-3766","-3562","-2321","-2261","-2813","-3390","-2475","-3137","-3141","-3299","-2440","-2988","-3649","-3133","-2295","-3264","-3630","-3741","-2325","-3039","-3214","-3788","-2933","-3021","-3031","-3403","-2109","-2914","-2761","-3820","-2135","-2622","-3104","-2981","-2120","-2239","-2317","-3487","-1794","-2417","-2396","-3066","-1620","-2457","-2629","-3119","-2163","-2580","-2804","-2837","-1692","-1794","-2853","-3710","-2142","-2701","-3455","-4414","-3504","-3916","-4515"
"fcf","657","1015","-1265","5281","-1778","957","-991","4053","-259","272","-2279","5977","787","-245","-1632","6053","-1140","686","-341","7457","1458","4124","-2551","9331","1096","3187","-596","10510","-1467","6058","-1403","8245","-321","4470","-424","7600","3109","3122","1098","5896","1961","3336","-962","6534","3830","3047","809","9274","2311","3034","1799","9566","4073","6499","2533","8405","3591","3558","3304","8211","3541","3477","3584","7326","1400","5042","550","7879","5325","10145","1071","9484","716","6864","413","3476","-7262","9082","1943"
"book_value","40200","42594","42172","43623","42384","43144","44886","49396","47191","47721","49918","53171","53314","56372","58763","61573","59911","62286","63079","64608","63230","66793","65539","67476","64191","69148","69952","72955","68927","67219","68387","71655","68415","73276","71764","76165","74391","75141","79093","82257","76390","77181","80014","82830","78199","82823","84053","85937","79990","82124","82630","83611","77758","79144","80475","80535","76114","79046","78906","80822","78324","73812","79469","79634","74910","77131","78307","81552","74110","81197","87504","87531","84592","87127","90757","91891","85860","85847","80383"
"tangible_book_value","30883","33021","32726","33741","32250","33020","34695","38593","36405","37308","39451","41074","40412","43103","45506","47814","45326","47631","48181","48729","46610","50393","50123","52216","49309","52999","53790","56829","53068","51226","51801","54892","51520","51744","51355","55514","53388","55060","58521","61760","56656","57901","60285","63320","58684","63065","65165","67835","62459","64325","65579","66916","61007","62805","62683","63498","58539","61009","60702","62580","59474","55972","48425","48453","43494","45677","47591","50479","44694","51655","57268","58548","55720","57968","61834","62877","56422","57183","52246"
"roa","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.08","0.08","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.06","0.05","0.04","0.03","0.02","0.03","0.04","0.05","0.06","0.06","0.06","0.08","0.08","0.05","0.05","0.04","0.03","0.06","0.05","0.06","0.04"
"roe","0.21","0.21","0.21","0.21","0.22","0.22","0.22","0.22","0.22","0.23","0.22","0.22","0.21","0.19","0.19","0.19","0.19","0.2","0.2","0.2","0.2","0.21","0.21","0.2","0.2","0.2","0.19","0.2","0.21","0.22","0.22","0.23","0.24","0.24","0.23","0.21","0.21","0.22","0.21","0.21","0.21","0.22","0.22","0.2","0.2","0.2","0.19","0.19","0.19","0.19","0.18","0.18","0.18","0.19","0.18","0.17","0.17","0.16","0.14","0.12","0.11","0.07000000000000001","0.07000000000000001","0.08","0.11","0.17","0.19","0.19","0.19","0.23","0.23","0.15","0.14","0.12","0.09","0.15","0.15","0.16","0.11"
"roic","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.12","0.11","0.11","0.11","0.11","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.11","0.12","0.13","0.12","0.12","0.13","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.11","0.12","0.12","0.11","0.11","0.11","0.11","0.11","0.1","0.11","0.1","0.09","0.08","0.07000000000000001","0.04","0.04","0.05","0.06","0.08","0.09","0.09","0.1","0.12","0.13","0.09","0.08","0.07000000000000001","0.05","0.09","0.08","0.09","0.06"
"roce","0.2","0.2","0.2","0.2","0.21","0.21","0.21","0.21","0.21","0.21","0.2","0.2","0.2","0.2","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.2","0.19","0.2","0.2","0.19","0.2","0.2","0.21","0.2","0.2","0.2","0.19","0.19","0.19","0.2","0.2","0.2","0.19","0.2","0.2","0.19","0.18","0.18","0.19","0.18","0.19","0.19","0.19","0.18","0.17","0.17","0.18","0.17","0.17","0.17","0.17","0.16","0.15","0.15","0.15","0.14","0.15","0.14","0.13","0.13","0.12","0.13","0.13","0.14","0.14","0.15","0.16","0.16","0.16","0.15","0.15","0.13"
"rotce","0.23","0.23","0.23","0.24","0.24","0.24","0.24","0.24","0.24","0.24","0.23","0.22","0.23","0.22","0.22","0.22","0.22","0.22","0.21","0.22","0.22","0.23","0.23","0.22","0.23","0.23","0.22","0.23","0.24","0.24","0.23","0.23","0.23","0.23","0.22","0.23","0.23","0.23","0.23","0.22","0.23","0.23","0.22","0.21","0.21","0.22","0.21","0.21","0.22","0.21","0.21","0.19","0.2","0.2","0.19","0.19","0.2","0.2","0.19","0.17","0.18","0.17","0.17","0.18","0.18","0.17","0.16","0.15","0.16","0.16","0.17","0.17","0.18","0.2","0.2","0.2","0.18","0.18","0.16"
"gross_margin","0.23","0.24","0.23","0.23","0.24","0.24","0.24","0.23","0.24","0.24","0.24","0.23","0.24","0.24","0.25","0.24","0.24","0.24","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.26","0.26","0.25","0.25","0.25","0.26","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.24","0.25","0.25","0.25","0.25","0.25","0.25","0.26","0.25","0.25","0.26","0.26","0.25","0.25","0.26","0.26","0.25","0.25","0.25","0.25","0.24","0.25","0.25","0.25","0.24","0.24","0.25","0.26","0.24","0.25","0.25","0.25","0.24","0.25","0.24","0.24"
"ebitda_margin","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.07000000000000001","0.08","0.08","0.08","0.07000000000000001","0.09","0.08","0.08","0.07000000000000001","0.08","0.08","0.08","0.07000000000000001","0.08","0.08","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.07000000000000001","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.06","0.05","0.06","0.07000000000000001","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.05","0.07000000000000001","0.07000000000000001","0.06","0.06","0.06","0.06","0.04"
"operating_margin","0.05","0.06","0.05","0.06","0.06","0.06","0.05","0.07000000000000001","0.05","0.06","0.05","0.07000000000000001","0.06","0.06","0.05","0.07000000000000001","0.06","0.06","0.05","0.06","0.06","0.06","0.05","0.06","0.06","0.06","0.05","0.07000000000000001","0.06","0.06","0.06","0.07000000000000001","0.06","0.06","0.05","0.07000000000000001","0.06","0.06","0.05","0.07000000000000001","0.06","0.06","0.05","0.06","0.05","0.06","0.05","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.05","0.04","0.05","0.04","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.04","0.04","0.04","0.04","0.02"
"pretax_margin","0.05","0.06","0.05","0.06","0.05","0.06","0.05","0.07000000000000001","0.05","0.06","0.05","0.06","0.05","0.06","0.05","0.06","0.05","0.05","0.05","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.05","0.06","0.05","0.06","0.05","0.05","0.05","0.06","0.05","0.05","0.05","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.04","0.05","0.04","0.05","0.04","0.05","0.04","0.04","0.04","0.04","0.02","0.02","0.02","","0.02","0.04","0.04","0.04","0.03","0.04","0.04","0.06","0.05","","0.03","0.04","0.03","0.03","0.02","0.04","-0.01"
"net_income_margin","0.03","0.04","0.03","0.04","0.03","0.04","0.03","0.04","0.03","0.04","0.03","0.04","0.03","0.02","0.03","0.04","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.05","0.03","0.03","0.03","0.04","0.03","0.04","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.02","0.01","0.02","0.02","-0.01","0.01","0.03","0.03","0.03","0.03","0.03","0.03","0.05","0.04","-0.01","0.02","0.03","0.02","0.02","0.01","0.03","-0.01"
"fcf_margin","0.01","0.02","-0.02","0.07000000000000001","-0.03","0.01","-0.01","0.05","","","-0.03","0.07000000000000001","0.01","","-0.02","0.06","-0.01","0.01","","0.07000000000000001","0.02","0.04","-0.03","0.09","0.01","0.03","-0.01","0.09","-0.01","0.06","-0.01","0.07000000000000001","","0.04","","0.06","0.03","0.03","0.01","0.05","0.02","0.03","-0.01","0.05","0.03","0.03","0.01","0.07000000000000001","0.02","0.03","0.02","0.07000000000000001","0.04","0.05","0.02","0.06","0.03","0.03","0.03","0.06","0.03","0.03","0.03","0.05","0.01","0.04","","0.06","0.04","0.07000000000000001","0.01","0.06","0.01","0.05","","0.02","-0.05","0.06","0.01"
"assets_to_equity","2.4","2.32","2.49","2.42","2.54","2.55","2.63","2.43","2.59","2.61","2.64","2.6","2.64","2.57","2.57","2.46","2.59","2.52","2.62","2.53","2.65","2.5","2.56","2.42","2.53","2.44","2.47","2.34","2.53","2.63","2.73","2.52","2.72","2.64","2.72","2.54","2.65","2.6","2.6","2.47","2.65","2.6","2.62","2.47","2.59","2.46","2.47","2.37","2.51","2.42","2.48","2.39","2.56","2.5","2.57","2.47","2.62","2.55","2.65","2.53","2.62","2.79","2.85","2.75","3.13","3.04","3.06","2.9","3.14","2.92","2.87","2.88","2.8","2.74","2.7","2.66","2.87","2.88","3.08"
"equity_to_assets","0.42","0.43","0.4","0.41","0.39","0.39","0.38","0.41","0.39","0.38","0.38","0.38","0.38","0.39","0.39","0.41","0.39","0.4","0.38","0.4","0.38","0.4","0.39","0.41","0.4","0.41","0.4","0.43","0.4","0.38","0.37","0.4","0.37","0.38","0.37","0.39","0.38","0.38","0.38","0.4","0.38","0.38","0.38","0.4","0.39","0.41","0.4","0.42","0.4","0.41","0.4","0.42","0.39","0.4","0.39","0.41","0.38","0.39","0.38","0.4","0.38","0.36","0.35","0.36","0.32","0.33","0.33","0.34","0.32","0.34","0.35","0.35","0.36","0.37","0.37","0.38","0.35","0.35","0.32"
"debt_to_equity","0.63","0.6","0.65","0.6","0.6899999999999999","0.73","0.74","0.62","0.6899999999999999","0.75","0.76","0.72","0.72","0.71","0.7","0.63","0.7","0.6899999999999999","0.75","0.6899999999999999","0.76","0.66","0.71","0.62","0.67","0.65","0.67","0.5600000000000001","0.68","0.73","0.83","0.6899999999999999","0.8100000000000001","0.77","0.82","0.7","0.73","0.72","0.72","0.65","0.74","0.74","0.77","0.68","0.71","0.65","0.66","0.58","0.62","0.59","0.63","0.59","0.64","0.59","0.61","0.5600000000000001","0.6","0.59","0.62","0.57","0.58","0.72","0.76","0.72","0.98","0.9399999999999999","0.9399999999999999","0.86","0.99","0.83","0.76","0.7","0.72","0.68","0.61","0.6","0.75","0.74","0.79"
"debt_to_assets","0.26","0.26","0.26","0.25","0.27","0.29","0.28","0.26","0.27","0.29","0.29","0.28","0.27","0.28","0.27","0.26","0.27","0.27","0.29","0.27","0.29","0.27","0.28","0.26","0.26","0.27","0.27","0.24","0.27","0.28","0.3","0.27","0.3","0.29","0.3","0.27","0.28","0.28","0.28","0.26","0.28","0.28","0.29","0.28","0.27","0.26","0.27","0.25","0.25","0.24","0.25","0.25","0.25","0.24","0.24","0.23","0.23","0.23","0.24","0.22","0.22","0.26","0.27","0.26","0.31","0.31","0.31","0.3","0.31","0.28","0.26","0.24","0.26","0.25","0.23","0.23","0.26","0.26","0.26"
"revenue_per_share","13.02","14.41","14.42","17.34","15.21","16.49","16.31","18.64","16.93","18.35","18.09","21.4","19.11","20.48","20.24","23.77","20.93","22.64","22.65","26.49","23.93","25.86","24.94","27.6","23.98","25.87","25.74","29.77","26.4","27.98","28.08","32.67","29.66","31.38","31.88","35.73","33","33.63","33.68","38.07","34.38","35.5","35.37","39.87","35.39","37.06","36.73","40.57","35.41","37.21","36.47","40.84","36.75","38.75","38.12","42.57","38.58","40.83","41.11","45.77","41.35","43.46","42.47","47.66","42.94","45.44","44.74","49.6","47.25","48.36","47.28","53.53","48.89","50.16","50.24","54.97","51.2","55.69","56.37"
"ebitda_per_share","0.91","1.08","1","1.33","1.08","1.27","1.15","1.54","1.2","1.41","1.26","1.7","1.39","1.55","1.4","1.9","1.54","1.67","1.62","2.14","1.75","1.91","1.77","2.04","1.76","1.97","1.88","2.45","2.01","2.18","2.06","2.81","2.24","2.42","2.29","3.02","2.48","2.6","2.42","3.2","2.6","2.73","2.6","2.96","2.6","2.78","2.66","3.16","2.47","2.6","2.51","2.86","2.43","2.78","2.45","2.9","2.56","2.84","2.48","2.41","2.64","2.85","2.58","3.02","2.65","2.89","2.6","2.85","2.81","3.1","3","2.92","3.38","3.55","3.02","3.09","2.89","3.48","2.01"
"operating_income_per_share","0.7","0.86","0.78","1.09","0.84","1.03","0.89","1.3","0.93","1.13","0.98","1.41","1.08","1.22","1.07","1.55","1.17","1.29","1.22","1.72","1.34","1.47","1.34","1.61","1.33","1.52","1.41","1.95","1.52","1.67","1.55","2.25","1.68","1.83","1.7","2.43","1.86","1.97","1.8","2.56","1.94","2.06","1.93","2.26","1.91","2.08","1.93","2.45","1.75","1.88","1.78","2.09","1.67","1.98","1.65","2.02","1.72","1.98","1.59","1.5","1.74","1.95","1.7","2.08","1.71","1.95","1.65","1.86","1.83","2.13","2.03","1.93","2.44","2.62","2.07","2.12","1.92","2.5","0.99"
"pretax_income_per_share","0.65","0.82","0.73","1.05","0.79","0.97","0.83","1.23","0.88","1.06","0.9","1.34","0.99","1.13","0.97","1.46","1.08","1.19","1.11","1.59","1.22","1.35","1.23","1.49","1.21","1.4","1.29","1.83","1.39","1.54","1.4","2.1","1.53","1.67","1.55","2.27","1.71","1.82","1.64","2.41","1.78","1.89","1.75","2.09","1.73","1.91","1.73","2.27","1.5","1.71","1.6","1.92","1.49","1.8","1.46","1.84","1.53","1.52","0.96","1","0.95","0.14","0.88","1.95","1.79","1.71","1.53","1.99","1.89","3.04","2.5","-0.21","1.36","2.11","1.48","1.72","1.05","2.42","-0.53"
