"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"net_income_continuing","1872","2324","2076","2804","2208","2707","2336","3480","2529","2921","2495","3736","2739","3075","2678","4121","2926","3203","2945","4211","3151","3531","3146","3907","3147","3586","3265","4990","3444","3747","3590","5178","3578","3937","3501","5392","3894","4161","3809","5863","3932","4205","3870","4544","3711","4089","3826","5188","3283","3635","3414","4748","3216","3889","3202","3986","3152","3104","1904","2363","2276","-727","1817","3813","3906","3680","3321","4294","4074","6439","5201","-2008","2811","4364","3132","3633","2103","5147","-1767"
"net_income_discontinued","31","161","","","","","","","","-48","-48","-30","-45","-901","53","-11","","-145","11","-14","-7","48","105","","-8","-7","-7","-57","","","","1034","-28","","-8","15","","","16","13","13","10","15","106","15","270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-42","-41","-48","-83","-42","-56","-50","-101","-68","-68","-73","-115","-79","-91","-84","-171","-100","-106","-99","-101","-122","-130","-113","-134","-117","-107","-114","-175","-143","-151","-154","-156","-151","-136","-157","-244","-152","-145","-190","-270","-161","-146","-147","-219","-133","-266","-115","-222","58","-160","-110","-174","-137","-116","-168","-229","-113","-205","-155","-188","-142","-134","-107","-126","-64","-70","-33","-153","-84","37","-66","-83","-81","-88","-27","-71","-49","2","-31"
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","1861","2444","2028","2721","2166","2651","2286","3164","2461","2805","2374","3591","2615","2083","2647","3939","2826","2952","2857","4096","3022","3449","3138","3773","3022","3472","3144","4758","3301","3596","3436","6056","3399","3801","3336","5163","3742","4016","3635","5606","3784","4069","3738","4431","3593","4093","3711","4966","3341","3475","3304","4574","3079","3773","3034","3757","3039","2899","1749","2175","2134","-861","1710","3687","3842","3610","3288","4141","3990","6476","5135","-2091","2730","4276","3105","3562","2054","5149","-1798"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1861","2444","2028","2721","2166","2651","2286","3164","2461","2805","2374","3591","2615","2083","2647","3939","2826","2952","2857","4096","3022","3449","3138","3773","3022","3472","3144","4758","3301","3596","3436","6056","3399","3801","3336","5163","3742","4016","3635","5606","3784","4069","3738","4431","3593","4093","3711","4966","3341","3475","3304","4574","3079","3773","3034","3757","3039","2899","1749","2175","2134","-861","1710","3687","3842","3610","3288","4141","3990","6476","5135","-2091","2730","4276","3105","3562","2054","5149","-1798"
"eps_basic","0.42","0.5600000000000001","0.46","0.63","0.5","0.62","0.54","0.74","0.58","0.67","0.57","0.86","0.63","0.5","0.63","0.95","0.6899999999999999","0.72","0.71","1.02","0.76","0.87","0.8","0.97","0.77","0.89","0.82","1.22","0.88","0.97","0.95","1.71","0.97","1.09","0.97","1.51","1.1","1.19","1.08","1.68","1.15","1.25","1.15","1.37","1.11","1.27","1.15","1.54","1.03","1.08","1.03","1.44","0.98","1.21","0.98","1.23","1","0.96","0.59","0.74","0.72","-0.29","0.58","1.27","1.34","1.27","1.16","1.46","1.41","2.29","1.81","-0.74","0.97","1.53","1.11","1.29","0.75","1.88","-0.66"
"eps_diluted","0.42","0.5600000000000001","0.46","0.63","0.5","0.62","0.54","0.74","0.58","0.67","0.57","0.86","0.63","0.5","0.63","0.95","0.68","0.72","0.7","1.02","0.76","0.87","0.8","0.96","0.77","0.89","0.8100000000000001","1.21","0.87","0.97","0.95","1.7","0.97","1.09","0.96","1.5","1.09","1.18","1.08","1.67","1.14","1.24","1.14","1.36","1.11","1.26","1.15","1.53","1.03","1.08","1.03","1.43","0.98","1.21","0.98","1.22","1","0.96","0.58","0.73","0.72","-0.29","0.58","1.27","1.33","1.26","1.15","1.45","1.4","2.27","1.8","-0.74","0.97","1.52","1.11","1.28","0.74","1.88","-0.66"
"shares_basic","4386","4378","4362","4327","4294","4264","4242","4238","4228","4175","4165","4165","4167","4168","4169","4152","4122","4102","4051","3988","3957","3945","3931","3924","3920","3891","3851","3803","3765","3696","3617","3548","3497","3472","3445","3421","3409","3384","3364","3341","3301","3278","3257","3239","3233","3230","3229","3227","3231","3221","3210","3165","3144","3109","3089","3062","3035","3008","2981","2956","2950","2946","2924","2896","2869","2853","2843","2835","2831","2832","2833","2828","2815","2799","2785","2771","2754","2736","2711"
