"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"apic","4.268","","5.193","","","5.746","7.124","334.274","18.906","583.454","621.9349999999999","631.564","871.174","881.941","893.336","913.04","926.981","947.693","1190.191","1222.825","1714.163","1687.397","1806.617","2101.352","2203.535","2284.01","2345.266","2429.677","2502.679","3340.436","3409.452","3561.256","5383.731","5530.928","7773.727","8351.513999999999","8774.212","8989.022000000001","9178.023999999999","9418.896000000001","9656.537","9957.710999999999","10249","10563.746","12052.458","12348","12736","15390","15895","21574","27260","27623","28205","28922","29803","30485","30944","31592"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","0.018000000000001","","0.0069999999999766","","","0.020999999999987","0.007000000000005","0.078000000000003","0.008000000000038201","0.09300000000007499","0.09500000000008399","0.09600000000006","0.10400000000004","0.10399999999998","0.10400000000007","0.10499999999999","0.10499999999999","0.10599999999999","0.11499999999997","0.11499999999992","0.12099999999998","0.12300000000005","0.12299999999993","0.12400000000025","0.12500000000011","0.12499999999977","0.12599999999998","0.12599999999964","0.12699999999995","0.13099999999963","0.13099999999963","0.13400000000024","0.14799999999968","0.15000000000009","0.16100000000006","0.16100000000097","0.16299999999956","0.16799999999876","0.16900000000078","0.16999999999916","0.17000000000007","0.17100000000119","","0.1740000000018","0.17899999999918","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1152.214","1173.371","1476.363","1466.18","1395.08","1269.711","1360.692","1344.731","1390","1432.31","1435.068","1442","1492","1499","1482","1469","1454","1448","1446","1441","1394","1321","1282","1273"
"total_equity","-117.846","","-199.714","","","-230.645","-253.523","44.179","-309.775","219.923","207.048","167.738","348.452","294.118","224.045","153.874","62.215","-27.875","124.7","168.583","629.426","564.165","667.12","912.056","952.333","958.0940000000001","911.71","825.997","715.934","1314.656","1083.704","970.365","2520.294","2680.488","5905.125","6161.09","6582.115","6177.66","5632.322","5720.406","5267.113","5853.569","6313","6037.906","7150.461","7482","8110","10672","11337","17500","23679","24465","26250","28494","31583","35406","37658","41124"
"total_liabilities_and_equity","34.837","","51.699","","","155.916","130.424","145.32","147.974","361.621","386.082","407.289","646.155","700.25","713.448","761.1","776.869","809.177","1114.19","1143.778","1887.844","2166.209","2416.93","4500.41","5054.463","5437.533","5830.667","6120.03","6468.185","7547.497","8067.939","9191.701999999999","11868.952","12592.397","22664.076","25053.726","26043.705","28107.074","28655.372","27271.429","27910","29262.713","29740","28912.524","31872.597","32795","34309","37250","38135","45691","52148","52972","55146","57834","62131","66038","68513","74426"
"cfo_net_income","","","-25.498","-16.016","-10.867","-4.615","-24.242","-29.519","-38.517","-34.934","-51.358","-48.941","-58.903","-65.078","-81.489","-89.873","-105.603","-110.806","-89.931","11.248","-30.502","-38.496","-16.264","-49.8","-61.902","-74.709","-107.629","-154.181","-184.227","-229.858","-320.397","-282.267","-293.188","21.878","-219.469","-397.181","-401.427","-671.163","-771.229","-784.627","-742.706","254.333","210","-668","-389","150","132","68","129","369","296","464","1178","1659","2343","3280","2269","3331"
"cfo_da","","","1.294","1.372","1.685","1.948","1.935","2.141","2.483","3.109","2.89","3.517","4.318","4.28","4.804","4.163","4.348","7.522","12.792","17.85","22.198","28.45","37.585","44.268","54.715","64.97199999999999","67.976","77.11199999999999","91.389","110.366","143.723","156.46","183.232","280.468","326.939","376.602","389.171","400.624","469.603","416.233","485.255","502.512","497","468","579","530","577","553","567","584","618","621","681","761","848","880","922","956"
"cfo_receivables","","","-3.075","2.789","-4.015","3.16","-2.102","-2.443","-0.535","-1.597","1.353","-13.55","-3.048","5.058","8.711","-4.05","2.567","1.858","-17.678","-19.297","-67.581","66.16200000000001","-0.989","-23.721","-24.21","-61.241","-74.486","2.175","60.657","15.541","-32.106","-159.327","157.901","-109.084","-106.055","91.541","-14.498","-182.686","80.643","-169.142","70.633","-587.491","189","-100","-68","18","-217","-14","-222","-314","-102","-24","-259","135","18","-409","176","-193"
"cfo_inventory","","","-7.302","-4.943","-3.82","4.731","-3.893","-5.507","-3.525","-13.837","-5.644","-6.963","-6.001","2.133","-2.807","-5.6","-12.838","-85.59399999999999","-90.694","18.22","-147.467","-229.17","-102.144","-198.594","-259.538","-214.531","-377.601","-307.209","-399.011","-385.162","722.018","-512.671","-705.26","872.6","-287.536","-124.514","-269.188","-25.268","239.97","-322.081","-733.475","-55.444","88","-809","457","-133","56","-981","446","-67","180","-106","-581","-488","-534","-633","-1559","-2300"
"cfo_prepaid_expenses","","","-0.045","-0.229","-1.895","-0.06","0.142","-0.316","-0.54","-2.253","-1.868","-1.423","1.581","-1.343","0.9370000000000001","2.483","0.097","-0.829","-0.63","-2.575","-0.99","-5.55","-8.417999999999999","-11.429","-12.778","-5.31","-31.12","-43.475","40.09","-32.577","6.367","-9.134","28.628","15.142","22.17","-75.504","-37.688","-10.64","51.832","-50.001","-45.193","64.194","-51","-46","-93","-97","-52","-154","-147","11","39","-143","12","-156","16","-289","-244","-332"
"cfo_other_working_capital","","","5.982","0.508","4.828","-29.479","-3.265","2.455","7.712","2.515","12.855","16.322","31.812","24.665","19.144","16.186","32.857","72.431","134.376","32.535","153.621","253.614","208.987","250.238","231.281","186.397","369.818","193.324","168.213","209.751","-711.885","410.103","678.215","-814.379","-175.174","-154.303","-159.719","-31.174","124.196","215.798","541.046","930.1559999999999","-27","279","-8","20","444","-298","-323","1005","1125","261","504","508","1355","729","281","3056"
"cfo_change_in_working_capital","","","-4.44","-1.875","-4.902","-21.648","-9.118","-5.811","3.112","-15.172","6.696","-5.614","24.344","30.513","25.985","9.019","22.683","-12.134","25.374","28.883","-62.417","85.056","97.43600000000001","16.494","-65.245","-94.685","-113.389","-155.185","-130.051","-192.447","-15.606","-271.029","159.484","-35.721","-546.595","-262.78","-481.093","-249.768","496.641","-325.426","-166.989","351.415","199","-676","288","-192","231","-1447","-246","635","1242","-12","-324","-1","855","-602","-1346","231"
"cfo_deferred_tax","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_stock_comp","","","0.22","0.09","0.15","0.21","0.99","3.39","6.12","3.81","7.84","5.93","6.93","7.89","8.68","10.71","12.54","12.48","14.42","14.87","19.71","20.98","25.17","37.04","35.78","39.16","44.52","43.03","43.34","56","55.64","89.66","67.31","89.54000000000001","87.70999999999999","103.72","116.04","112.65","134.59","141.64","197.34","205.02","205","208","210","199","281","211","347","543","633","614","474","475","558","418","361","362"
"cfo_other_noncash_items","","","6.07","0.266","1.768","0.616","1.428","2.47","6.555","-2.77","-0.352","1.811","0.823","0.904","1.262","2.681","1.768","1.912","2.12","-8.772","15.713","6.046","-9.94","10.721","34.99","37.266","22.12","57.43","20.033","52.599","106.791","57.571","33.498","67.48399999999999","-96.794","109.828","177.137","107.095","179.94","153.804","97.43600000000001","77.76000000000001","124","28","176","69","204","175","167","269","230","-46","115","253","-19","19","145","220"
"cf_cfo","","","-22.354","-16.163","-12.166","-23.489","-29.007","-27.329","-20.247","-45.957","-34.284","-43.297","-22.488","-21.491","-40.758","-63.3","-64.264","-101.026","-35.225","64.07899999999999","-35.298","102.036","133.987","58.723","-1.662","-27.996","-86.402","-131.794","-159.516","-203.34","-29.849","-249.605","150.336","423.649","-448.209","-69.81100000000001","-200.172","-300.562","509.545","-398.376","-129.664","1391.04","1235","-640","864","756","1425","-440","964","2400","3019","1641","2124","3147","4585","3995","2351","5100"
"cfi_ppe_net","","","-1.144","-0.902","-2.527","-2.256","-6.199","-5.472","-9.815","-7.768","-82.358","-20.476","-54.314","-68.84399999999999","-40.592","-54.774","-58.003","-62.398","-64.053","-57.727","-40.515","-76.548","-89.434","-141.364","-175.685","-284.175","-368.661","-426.06","-405.165","-392.403","-411.222","-216.859","-294.72","-247.611","-681.2809999999999","-772.572","-1157.912","-1244.727","-905.789","-728.6369999999999","-677.213","-559.15","-354","-305","-268","-410","-449","-481","-566","-1021","-1164","-1360","-1515","-1825","-1814","-1772","-1730","-1803"
"cfi_acquisitions_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-109.147","","","","","","","","","","","","","","","","","","","","","",""
"cfi_investment_net","","","","","","","","","","","","","","","","0.0079999999999991","25","","","","","","","-189.111","-11.157","-5.563","-0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-386","-90","-991"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1228","","","","-9","936",""
"cfi_other","","","-1","","-1.581","-0.779","","-3.907","2.126","-146.911","73.80800000000001","30.587","31.192","-109.326","69.515","-11.461","17.071","-1.616","3.296","2.491","13.341","-0.95399999999999","-0.07099999999999801","1.295","189.452","-1.905","-3.56","-6.284","-17.672","-11.687","-3.058","-16.96","-25.134","-20.395","421.875","","","","-5.853000000000099","","-5.604","-1.3960000000001","-11","-1","27","-76","46","1","","-18","117","6","","-30","-102","","","3"
"cf_cfi","","","-2.144","-0.902","-4.108","-3.035","-6.199","-9.379","-7.689","-154.679","-8.550000000000001","10.111","-23.122","-178.17","28.923","-66.227","-15.932","-64.014","-60.757","-55.236","-27.174","-77.502","-89.505","-329.18","2.61","-291.643","-372.231","-432.344","-422.837","-404.09","-414.28","-233.819","-319.854","-268.006","-259.406","-881.7190000000001","-1157.912","-1244.727","-911.6420000000001","-728.6369999999999","-682.817","-560.546","-365","-306","-241","-486","-403","-480","-566","-1039","-1047","-2582","-1515","-1855","-1916","-2167","-884","-2791"
"cff_common_stock_net","","","-0.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1701.734","","","400.175","","","","","","","","","848","","","2309","","4973","4987","","","","","","",""
"cff_pfd_net","","","","","49.444","82.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","","","15.459","19.501","5.752","-0.06","-0.047","29.843","15.421","11.06","15.189","30.577","31.643","90.727","51.06","83.83799999999999","70.782","32.492","-13.858","-14.219","218.248","-2.746","-2.045","1997.455","296.899","-3.056","0.794","151.896","198.984","120.137","212.92","663.635","231.937","-361.546","1184.164","1225.273","-95.155","2010.029","244.853","262.714","245.597","-221.311","-198","-677","1623","47","-195","287","111","-581","-2305","-1162","-1588","-1526","-1456","-2068","-402","-899"
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","","","0.314","0.032","0.032999999999994","0.052999999999997","-1.667","-1.216","-1.727","238.835","30.64","3.706","232.692","2.882","2.713","8.993","1.398","7.687","228.303","17.903","378.759","26.961","12.561","-180.896","-15.407","36.81","10.531","34.26","19.367","773.841","12.118","51.8","42.913","40.676","188.663","-26.699","523.922","91.477","41.125","108.946","153.025","137.029","86","24","-328","71","116","112","12","58","10","146","39","145","199","154","-4","187"
"cf_cff","","","15.752","19.533","55.229","82.371","-1.714","28.627","13.694","249.895","45.829","34.283","264.335","93.60899999999999","53.773","92.831","72.18000000000001","40.179","214.445","3.684","597.0069999999999","24.215","10.516","1816.559","281.492","33.754","11.325","186.156","218.351","893.978","225.038","715.4349999999999","1976.584","-320.87","1372.827","1598.749","428.767","2101.506","285.978","371.66","398.622","-84.282","-112","-653","2143","118","-79","2708","123","4450","2692","-1016","-1549","-1381","-1257","-1914","-406","-712"
"ebitda","","","-21.93","-15.222","-6.402","-2.343","-20.99","-23.857","-28.879","-34.725","-48.755","-43.829","-54.421","-60.197","-76.123","-84.59999999999999","-101.827","-100.938","-78.09099999999999","12.266","10.406","-2.104","24.232","0.301","25.962","25.843","-6.862","-25.334","-78.79900000000001","-73.29600000000001","-116.61","-91.764","-54.808","366.09","60.241","119.053","148.255","-134.856","-128.452","-180.741","-32.703","945.5119999999999","916","-10","529","791","924","836","894","1393","1193","1114","2016","2816","3461","4483","3528","4644"
"capex","","","-1.144","-0.902","-2.527","-2.256","-6.199","-5.472","-9.815","-7.768","-82.358","-20.476","-54.314","-68.84399999999999","-40.592","-54.774","-58.003","-62.398","-64.053","-57.727","-40.515","-76.548","-89.434","-141.364","-175.685","-284.175","-368.661","-426.06","-405.165","-392.403","-411.222","-216.859","-294.72","-247.611","-681.2809999999999","-772.572","-1157.912","-1244.727","-905.789","-728.6369999999999","-677.213","-559.15","-354","-305","-268","-410","-449","-481","-566","-1021","-1164","-1360","-1515","-1825","-1814","-1772","-1730","-1803"
"fcf","","","-23.498","-17.065","-14.693","-25.745","-35.206","-32.801","-30.062","-53.725","-116.642","-63.773","-76.80200000000001","-90.33499999999999","-81.34999999999999","-118.074","-122.267","-163.424","-99.27800000000001","6.352","-75.813","25.488","44.553","-82.64100000000001","-177.347","-312.171","-455.063","-557.854","-564.681","-595.7430000000001","-441.071","-466.464","-144.384","176.038","-1129.49","-842.383","-1358.084","-1545.289","-396.244","-1127.013","-806.877","831.89","881","-945","596","346","976","-921","398","1379","1855","281","609","1322","2771","2223","621","3297"
"book_value","-117.846","","-199.714","","","-230.645","-253.523","44.179","-309.775","219.923","207.048","167.738","348.452","294.118","224.045","153.874","62.215","-27.875","124.7","168.583","629.426","564.165","667.12","912.056","952.333","958.0940000000001","911.71","825.997","715.934","1314.656","1083.704","970.365","2520.294","2680.488","5905.125","6161.09","6582.115","6177.66","5632.322","5720.406","5267.113","5853.569","6313","6037.906","7150.461","7482","8110","10672","11337","17500","23679","24465","26250","28494","31583","35406","37658","41124"
"tangible_book_value","-117.846","","-199.714","","","-230.645","-253.523","44.179","-309.775","219.923","207.048","167.738","348.452","294.118","209.537","153.874","62.215","-27.875","110.433","154.433","615.397","550.328","667.12","898.394","938.792","944.674","911.71","825.997","715.934","1314.656","1070.888","970.365","2520.294","2680.488","5528.98","5731.498","6157.502","5760.186","5210.583","5312.694","4902.423","5496.867","5963","5690.026","6669.628","6945","7573","10156","10829","16979","23159","23960","25764","28024","29866","33691","37003","40487"
"roa","","","-3.95","-2.48","","-0.73","-0.39","-0.5","-0.66","-0.5","-0.41","-0.44","-0.37","-0.33","-0.36","-0.4","-0.44","-0.49","-0.41","-0.26","-0.15","-0.07000000000000001","-0.03","-0.04","-0.03","-0.04","-0.05","-0.07000000000000001","-0.08","-0.1","-0.11","-0.12","-0.11","-0.07000000000000001","-0.04","-0.03","-0.03","-0.05","-0.07000000000000001","-0.08","-0.1","-0.06","-0.03","-0.03","-0.02","-0.03","-0.03","","0.01","0.01","0.01","0.02","0.04","0.06","0.09","0.13","0.14","0.16"
"roe","","","1.02","0.64","","0.49","0.23","0.66","0.73","2.83","-0.72","-0.93","-0.75","-0.7","-0.98","-1.56","-3.17","-22.58","-8.18","-2.01","-0.55","-0.25","-0.12","-0.17","-0.18","-0.21","-0.31","-0.46","-0.68","-0.67","-0.74","-0.99","-0.64","-0.34","-0.16","-0.12","-0.12","-0.22","-0.33","-0.41","-0.5","-0.32","-0.16","-0.16","-0.1","-0.11","-0.11","-0.02","0.03","0.04","0.04","0.05","0.09","0.13","0.18","0.25","0.26","0.28"
"roic","","","1.41","0.89","","0.5","0.23","0.78","1.03","-19.09","-0.55","-0.63","-0.52","-0.45","-0.5","-0.58","-0.67","-0.82","-0.77","-0.49","-0.24","-0.12","-0.06","-0.06","-0.05","-0.06","-0.09","-0.12","-0.15","-0.18","-0.22","-0.25","-0.23","-0.16","-0.06","-0.04","-0.04","-0.08","-0.1","-0.12","-0.14","-0.09","-0.05","-0.05","-0.03","-0.04","-0.04","-0.01","0.01","0.02","0.02","0.03","0.06","0.09","0.14","0.2","0.22","0.24"
"roce","","","5.13","3.66","","-1.1","-0.62","-0.77","-1.02","-0.64","-0.5","-0.57","-0.49","-0.42","-0.47","-0.54","-0.64","-0.77","-0.72","-0.48","-0.21","-0.09","-0.04","-0.04","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.14","-0.12","-0.08","-0.05","-0.04","-0.03","-0.06","-0.07000000000000001","-0.09","-0.11","-0.06","-0.01","-0.01","0.01","0.01","","0.03","0.04","0.05","0.05","0.06","0.08","0.11","0.15","0.22","0.23","0.25"
"rotce","","","5.13","3.66","","-1.1","-0.62","-0.77","-1.02","-0.64","-0.5","-0.57","-0.49","-0.42","-0.47","-0.55","-0.64","-0.77","-0.73","-0.5","-0.21","-0.09","-0.04","-0.04","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.14","-0.12","-0.08","-0.05","-0.04","-0.03","-0.06","-0.08","-0.09","-0.11","-0.06","-0.01","-0.01","0.02","0.01","","0.03","0.04","0.06","0.05","0.06","0.08","0.11","0.16","0.22","0.24","0.26"
"gross_margin","","","-0.12","-0.1","0.08","0.17","0.1","0.19","0.22","0.3","0.31","0.37","0.32","0.3","0.2","0.34","0.18","-0.17","0.08","0.17","0.25","0.24","0.25","0.25","0.28","0.3","0.27","0.28","0.22","0.25","0.18","0.22","0.22","0.28","0.19","0.25","0.24","0.15","0.13","0.13","0.15","0.22","0.2","0.12","0.15","0.19","0.19","0.21","0.21","0.24","0.19","0.21","0.24","0.27","0.27","0.29","0.25","0.25"
"ebitda_margin","","","-1.55","-0.73","-0.24","-0.05","-1.13","-1.15","-1.02","-1.11","-1.34","-0.89","-0.9399999999999999","-1.04","-1.93","-2.8","-3.82","-2.01","-0.25","0.02","0.03","","0.04","","0.03","0.03","-0.01","-0.03","-0.08","-0.08","-0.1","-0.08","-0.04","0.16","0.03","0.04","0.05","-0.05","-0.04","-0.05","-0.01","0.14","0.13","","0.08","0.13","0.13","0.14","0.15","0.16","0.11","0.11","0.17","0.2","0.2","0.24","0.21","0.22"
"operating_margin","","","-1.64","-0.79","-0.3","-0.09","-1.23","-1.25","-1.1","-1.21","-1.42","-0.97","-1.01","-1.12","-2.06","-2.94","-3.98","-2.16","-0.3","-0.01","-0.03","-0.07000000000000001","-0.02","-0.07000000000000001","-0.04","-0.05","-0.08","-0.11","-0.18","-0.2","-0.21","-0.22","-0.19","0.04","-0.12","-0.1","-0.09","-0.18","-0.18","-0.18","-0.13","0.06","0.06","-0.11","-0.01","0.04","0.05","0.05","0.05","0.09","0.05","0.05","0.11","0.15","0.15","0.19","0.15","0.17"
"pretax_margin","","","-1.8","-0.77","-0.4","-0.11","-1.29","-1.41","-1.36","-1.12","-1.42","-1","-1.01","-1.13","-2.07","-2.98","-3.96","-2.21","-0.29","0.02","-0.07000000000000001","-0.09","-0.02","-0.08","-0.08","-0.08","-0.11","-0.16","-0.19","-0.24","-0.26","-0.24","-0.23","0.01","-0.09","-0.14","-0.14","-0.22","-0.24","-0.23","-0.18","0.04","0.03","-0.14","-0.06","0.03","0.02","0.01","0.02","0.06","0.04","0.05","0.11","0.14","0.15","0.19","0.15","0.17"
"net_income_margin","","","-1.8","-0.77","-0.4","-0.1","-1.3","-1.42","-1.36","-1.12","-1.42","-1","-1.01","-1.13","-2.07","-2.98","-3.96","-2.21","-0.29","0.02","-0.08","-0.09","-0.03","-0.08","-0.08","-0.09","-0.11","-0.16","-0.19","-0.25","-0.26","-0.25","-0.23","0.01","-0.05","-0.12","-0.12","-0.21","-0.21","-0.21","-0.18","0.05","0.02","-0.15","-0.06","0.02","0.01","","0.02","0.03","0.03","0.04","0.1","0.12","0.13","0.18","0.13","0.15"
"fcf_margin","","","-1.66","-0.82","-0.55","-0.57","-1.89","-1.58","-1.06","-1.72","-3.21","-1.3","-1.32","-1.57","-2.07","-3.91","-4.59","-3.26","-0.32","0.01","-0.19","0.06","0.07000000000000001","-0.13","-0.23","-0.37","-0.48","-0.59","-0.59","-0.64","-0.36","-0.41","-0.11","0.08","-0.49","-0.31","-0.49","-0.52","-0.12","-0.33","-0.2","0.12","0.12","-0.21","0.09","0.05","0.13","-0.15","0.07000000000000001","0.16","0.17","0.03","0.05","0.1","0.16","0.12","0.04","0.15"
"assets_to_equity","-0.3","","-0.26","","","-0.68","-0.51","3.29","-0.48","1.64","1.86","2.43","1.85","2.38","3.18","4.95","12.49","-29.03","8.93","6.78","3","3.84","3.62","4.93","5.31","5.68","6.4","7.41","9.029999999999999","5.74","7.44","9.470000000000001","4.71","4.7","3.84","4.07","3.96","4.55","5.09","4.77","5.3","5","4.71","4.79","4.46","4.38","4.23","3.49","3.36","2.61","2.2","2.17","2.1","2.03","1.97","1.87","1.82","1.81"
"equity_to_assets","-3.38","","-3.86","","","-1.48","-1.94","0.3","-2.09","0.61","0.54","0.41","0.54","0.42","0.31","0.2","0.08","-0.03","0.11","0.15","0.33","0.26","0.28","0.2","0.19","0.18","0.16","0.13","0.11","0.17","0.13","0.11","0.21","0.21","0.26","0.25","0.25","0.22","0.2","0.21","0.19","0.2","0.21","0.21","0.22","0.23","0.24","0.29","0.3","0.38","0.45","0.46","0.48","0.49","0.51","0.54","0.55","0.55"
"debt_to_equity","","","-0.28","","","","","0.6899999999999999","-0.15","0.26","0.35","0.61","0.39","0.77","1.25","2.37","7.02","-16.91","3.71","2.67","0.93","1.19","0.9","2.4","2.58","2.59","2.73","3.12","3.75","2.03","2.67","3.26","1.3","1.01","1.45","1.57","1.45","1.89","2.14","2.18","2.53","2.3","2.11","2.02","1.93","1.87","1.72","1.36","1.31","0.83","0.53","0.48","0.39","0.33","0.25","0.17","0.15","0.12"
"debt_to_assets","","","1.07","","","","0.01","0.21","0.31","0.16","0.19","0.25","0.21","0.32","0.39","0.48","0.5600000000000001","0.58","0.41","0.39","0.31","0.31","0.25","0.49","0.49","0.46","0.43","0.42","0.41","0.35","0.36","0.34","0.28","0.22","0.38","0.39","0.37","0.42","0.42","0.46","0.48","0.46","0.45","0.42","0.43","0.43","0.41","0.39","0.39","0.32","0.24","0.22","0.19","0.16","0.13","0.09","0.08","0.07000000000000001"
"revenue_per_share","","","0.01","0.01","0.01","0.02","0.01","0.01","0.25","0.02","0.03","0.03","0.04","0.04","0.03","0.02","0.02","0.03","0.18","0.3","0.23","0.24","0.33","0.34","0.41","0.45","0.51","0.5","0.5","0.48","0.62","0.58","0.6","0.98","0.98","1.11","1.13","1.19","1.29","1.34","1.57","2.56","2.79","1.75","2.39","2.28","2.73","2.01","1.94","2.65","3.1","3.06","3.56","4.08","5.25","5.4","4.89","6.19"
"ebitda_per_share","","","-0.01","-0.01","","","-0.01","-0.02","-0.25","-0.03","-0.03","-0.03","-0.04","-0.04","-0.05","-0.05","-0.06","-0.06","-0.05","0.01","0.01","","0.01","","0.01","0.01","","-0.01","-0.04","-0.04","-0.06","-0.05","-0.03","0.16","0.03","0.05","0.06","-0.05","-0.05","-0.07000000000000001","-0.01","0.35","0.35","","0.2","0.29","0.34","0.28","0.29","0.42","0.34","0.33","0.6","0.84","1.03","1.29","1.02","1.34"
"operating_income_per_share","","","-0.01","-0.01","","","-0.01","-0.02","-0.27","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","","-0.01","-0.02","-0.01","-0.02","-0.02","-0.02","-0.04","-0.05","-0.09","-0.09","-0.13","-0.12","-0.11","0.04","-0.11","-0.11","-0.1","-0.21","-0.24","-0.24","-0.2","0.17","0.16","-0.18","-0.02","0.09","0.13","0.09","0.11","0.24","0.17","0.15","0.4","0.61","0.77","1.04","0.75","1.06"
"pretax_income_per_share","","","-0.01","-0.01","-0.01","","-0.01","-0.02","-0.34","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","0.01","-0.02","-0.02","-0.01","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.16","-0.14","-0.14","0.01","-0.09","-0.15","-0.16","-0.27","-0.31","-0.31","-0.29","0.1","0.09","-0.25","-0.14","0.06","0.06","0.02","0.05","0.17","0.11","0.16","0.39","0.5600000000000001","0.78","1.04","0.71","1.05"
"fcf_per_share","","","-0.01","-0.01","-0.01","-0.01","-0.02","-0.02","-0.26","-0.04","-0.08","-0.04","-0.05","-0.06","-0.05","-0.08","-0.08","-0.1","-0.06","","-0.04","0.01","0.02","-0.04","-0.1","-0.17","-0.24","-0.3","-0.3","-0.31","-0.22","-0.23","-0.07000000000000001","0.07000000000000001","-0.49","-0.35","-0.55","-0.62","-0.16","-0.44","-0.32","0.31","0.34","-0.36","0.22","0.13","0.36","-0.31","0.13","0.42","0.54","0.08","0.18","0.39","0.82","0.64","0.18","0.95"
"book_value_per_share","-0.06","","-0.1","","","-0.11","-0.12","0.03","-2.7","0.16","0.15","0.12","0.24","0.19","0.14","0.1","0.04","-0.02","0.07000000000000001","0.09","0.36","0.31","0.36","0.49","0.51","0.51","0.48","0.44","0.38","0.68","0.55","0.49","1.2","1.14","2.54","2.53","2.66","2.46","2.22","2.25","2.07","2.19","2.44","2.33","2.69","2.7","3","3.58","3.65","5.28","6.83","7.2","7.82","8.460000000000001","9.359999999999999","10.2","10.87","11.86"
"tangible_book_per_share","-0.06","","-0.1","","","-0.11","-0.12","0.03","-2.7","0.16","0.15","0.12","0.24","0.19","0.13","0.1","0.04","-0.02","0.06","0.08","0.35","0.3","0.36","0.49","0.5","0.5","0.48","0.44","0.38","0.68","0.54","0.49","1.2","1.14","2.38","2.36","2.48","2.3","2.05","2.09","1.92","2.06","2.31","2.19","2.51","2.51","2.8","3.41","3.48","5.12","6.68","7.05","7.67","8.32","8.85","9.710000000000001","10.68","11.67"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","","","","0.47","","","0.31","","0.05","-0.31","0.95","1.36","1.05","0.85","0.09","-0.38","-0.54","-0.13","6.78","17.62","14.2","7.61","1.01","0.1","0.9","0.97","0.55","0.51","0.24","0.1","0.27","0.22","0.33","1.45","0.88","1.35","1.2","0.3","0.44","0.26","0.43","1.29","1.2","0.33","0.59","-0.08","0.02","0.32","-0.05","0.39","0.46","0.74","0.98","0.57","0.65","0.8100000000000001","0.42","0.5600000000000001"
"gross_profit_growth","","","","-0.2","","","2.05","2.88","1.98","0.21","5.36","3.68","1.96","0.85","-0.31","-0.43","-0.74","-1.51","2.04","8.43","20.1","12.74","5.56","0.61","1.12","1.45","0.67","0.68","","-0.08","-0.16","-0.03","0.29","1.75","0.99","1.65","1.43","-0.29","0.01","-0.32","-0.07000000000000001","2.39","2.28","0.24","0.49","-0.22","-0.04","1.18","0.38","0.73","0.49","0.79","1.28","0.77","1.35","1.47","0.47","0.47"
"ebitda_growth","","","","0.31","","","0.04","-0.57","-3.51","-13.82","-1.32","-0.84","-0.88","-0.73","-0.5600000000000001","-0.93","-0.87","-0.68","-0.03","1.14","1.1","0.98","1.31","-0.98","1.49","13.28","-1.28","-85.17","-4.04","-3.84","-15.99","-2.62","0.3","5.99","1.52","2.3","3.7","-1.37","-3.13","-2.52","-1.22","8.01","8.130000000000001","0.9399999999999999","17.18","-0.16","0.01","84.59999999999999","0.6899999999999999","0.76","0.29","0.33","1.26","1.02","1.9","3.02","0.75","0.65"
