"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"net_income_continuing","","","-25.498","-16.016","-10.867","-4.615","-24.242","-29.519","-38.517","-34.935","-51.358","-48.941","-58.903","-65.078","-81.489","-89.873","-105.603","-110.804","-89.931","11.248","-30.502","-38.496","-16.264","-49.8","-61.9","-74.708","-107.629","-154.181","-184.227","-229.858","-320.397","-282.267","-293.188","21.878","-219.469","-397.181","-401.427","-671.163","-771.229","-784.627","-742.706","254","210","-668","-389","150","132","68","129","369","296","464","1178","1659","2343","3280","2269","3331"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.13200000000001","66.904","65.03","51.787","95.279","75.07599999999999","25.167","57","-70","-34","-19","-7","-27","-52","-25","-69","5","-26","-36","-41","-22","38","-10","-39"
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","","","-25.498","-16.016","-10.867","-4.615","-24.242","-29.519","-38.517","-34.935","-51.358","-48.941","-58.903","-65.078","-81.489","-89.873","-105.603","-110.804","-89.931","11.248","-30.502","-38.496","-16.264","-49.8","-61.9","-74.708","-107.629","-154.181","-184.227","-229.858","-320.397","-282.267","-293.188","21.878","-121.337","-330.277","-336.397","-619.376","-675.95","-709.551","-717.539","311","140","-702","-408","143","105","16","104","300","301","438","1142","1618","2321","3318","2259","3292"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","","","-25.498","-16.016","-10.867","-4.615","-24.242","-29.519","-38.517","-34.935","-51.358","-48.941","-58.903","-65.078","-81.489","-89.873","-105.603","-110.804","-89.931","11.248","-30.502","-38.496","-16.264","-49.8","-61.9","-74.708","-107.629","-154.181","-184.227","-229.858","-320.397","-282.267","-293.188","21.878","-121.337","-330.277","-336.397","-619.376","-675.95","-709.551","-717.539","311","140","-702","-408","143","105","16","104","300","301","438","1142","1618","2321","3318","2259","3292"
"eps_basic","","","-0.01","-0.01","-0.01","","-0.01","-0.02","-0.34","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","0.01","-0.02","-0.02","-0.01","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.16","-0.14","-0.14","0.01","-0.05","-0.14","-0.14","-0.25","-0.27","-0.28","-0.28","0.12","0.05","-0.27","-0.15","0.05","0.04","0.01","0.04","0.11","0.09","0.15","0.39","0.54","0.76","1.07","0.73","1.05"
"eps_diluted","","","-0.01","-0.01","-0.01","","-0.01","-0.02","-0.34","-0.03","-0.04","-0.03","-0.04","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.05","0.01","-0.02","-0.02","-0.01","-0.03","-0.03","-0.04","-0.06","-0.08","-0.1","-0.12","-0.16","-0.14","-0.14","0.01","-0.05","-0.14","-0.14","-0.25","-0.27","-0.28","-0.28","0.12","0.05","-0.27","-0.15","0.05","0.04","0.01","0.03","0.09","0.08","0.13","0.34","0.48","0.68","0.95","0.65","0.95"
"shares_basic","2044.95","2044.95","2099.745","2099.745","2099.745","2099.745","2099.745","1396.641","114.652","1384.061","1423.626","1427.81","1466.359","1561.152","1566.542","1571.765","1578.637","1583.342","1707.147","1720.678","1772.904","1827.937","1842.561","1852.092","1863.756","1873.665","1882.575","1889.205","1900.335","1935.09","1966.995","1990.14","2099.745","2234.865","2326.575","2431.935","2478.18","2509.41","2539.635","2537.19","2549.955","2565","2586","2595","2655","2691","2706","2745","2784","2811","2853","2883","2913","2993","3039","3102","3111","3146"
"shares_diluted","2044.95","2044.95","2099.745","2099.745","2099.745","2099.745","2099.745","1396.641","114.652","1384.061","1423.626","1427.81","1466.359","1561.152","1566.542","1571.765","1578.637","1583.342","1707.147","1863.979","1772.904","1827.937","1842.561","1852.092","1863.756","1873.665","1882.575","1889.205","1900.335","1935.09","1966.995","1990.14","2099.745","2354.025","2326.575","2431.935","2478.18","2509.41","2539.635","2537.19","2549.955","2670","2586","2595","2655","2766","2706","2982","3108","3315","3465","3399","3357","3369","3375","3471","3465","3468"
