"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"other_current_liabilities","13.543","","19.503","","","1.227","26.87","16.086","20.389","29.798","32.491","22.303","33.394","53.759","99","182","128","117","140","108","378","434"
"total_current_liabilities","162.802","","191.461","","","186.418","222.803","159.159","161.987","147.842","143.115","134.582","161.647","1473.561","4389","8441","8840","9957","9128","9238","6812","6807"
"lt_debt","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_capital_leases","12.5","","15.687","","","26.892","33.489","33.384","33.588","33.801","132.364","147.849","167.772","207.563","207","234","433","343","705","741","728","1001"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","398.904","","250.515","","","196.979","175.358","167.418","150.962","157.288","138.995","142.989","208.478","207.768","177","179","175","498","615","464","405","175"
"other_lt_liabilities","1.1039999999999","","1.53","","","2.439","0.25800000000004","0.21299999999997","0.18800000000005","0.16099999999994","0.13799999999998","1.247","1.224","2.1830000000002","3","2","1","1","76","91","113","81"
"total_liabilities","575.3099999999999","","459.193","","","412.728","431.908","360.174","346.725","339.092","414.612","426.667","539.121","1891.075","4776","8856","9449","10799","10524","10534","8058","8064"
"common_stock","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","1176.661","","1176.661","","","","","","","","","0.037","","","","","","","","","",""
"retained_earnings","-365.718","","-621.893","","","-874.0309999999999","-1006.627","-1111.3","-1246.354","-1369.548","-1496.454","-1620.684","-1737.397","-1971.033","-2244","-1023","1757","5090","9958","13615","15812","16855"
"aoci","-0.403","","-1.157","","","-0.922","-1.32","0.591","2.741","2.83","1.804","-6.127","8.256","4.784","3","1","16","31","-24","-184","-240","-351"
"apic","31.305","","71.679","","","1951.355","2538.155","2556.709","2582.134","2618.492","2669.426","3267.648","4675.987","4726.007","4802","4860","4931","5003","4211","3644","2413","1488"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","",""
