"period_end_date","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"debt_to_assets","0.01","0.01","","","","","","","","","","","","","","","","","","0.05","","0.06","0.07000000000000001","0.06","0.06","0.06","0.08","0.35","0.36","0.34","","0.2","0.21","0.15","0.12","0.13","0.11","0.11","0.11","0.1","0.16","0.11","0.1","0.09","0.15","0.14","0.13","0.13","0.26","0.25","0.24","0.23","0.21","0.2","0.19","0.25","0.23","0.29","0.29","0.34","0.32","0.37","0.36","0.4","0.38","0.42","0.4","0.43","0.42","0.42","0.42","0.42","0.39","0.38","0.36","0.35","0.32","0.31","0.29"
"revenue_per_share","0.17","0.15","0.16","0.23","0.28","0.26","0.31","0.31","0.41","0.36","0.37","0.41","0.48","0.49","0.52","0.5600000000000001","0.62","0.62","0.62","0.65","0.72","0.76","0.78","0.85","0.93","0.98","1.04","1.15","1.29","1.37","1.47","1.57","1.89","2.09","2.18","2.26","2.24","2.16","2.2","2.28","2.43","2.52","2.59","2.74","2.95","3.11","3.26","3.43","3.63","3.77","3.97","4.16","4.47","4.8","5.22","5.63","5.92","6.24","6.67","7.33","8.220000000000001","8.65","8.85","9.279999999999999","10","10.89","11.62","12.11","12.75","13.54","14.14","14.59","15.72","16.13","16.45","16.91","17.37","17.7","17.6"
"ebitda_per_share","0.01","0.03","0.04","0.05","0.04","0.06","0.09","0.06","0.04","0.07000000000000001","0.07000000000000001","0.06","0.08","0.12","0.12","0.14","0.13","0.19","0.16","0.17","0.17","0.22","0.21","0.22","0.22","0.28","0.29","-0.26","0.34","0.4","0.41","0.48","0.59","0.78","0.85","0.97","0.95","1.02","1.1","1.24","1.3","1.41","1.5","1.6","1.69","1.85","1.92","1.92","2.04","2.14","2.24","2.41","2.61","2.92","3.11","3.45","3.58","3.84","4.18","4.31","4.94","5.12","5.36","5.01","5.77","6.55","7.28","6.79","7.67","8.789999999999999","8.960000000000001","8.720000000000001","10.35","10.31","10.53","9.73","11.51","10.94","11.71"
"operating_income_per_share","-0.02","0.01","0.01","","-0.02","0.01","0.04","0.01","-0.03","0.01","0.01","0.01","0.01","0.05","0.03","0.04","0.02","0.08","0.05","0.04","0.03","0.08","0.08","0.09","0.08","0.13","0.12","0.13","0.15","0.2","0.18","0.21","0.27","0.31","0.26","0.16","","0.04","0.04","0.05","0.08","0.13","0.13","0.19","0.23","0.3","0.26","0.15","0.22","0.17","0.17","0.14","0.11","0.16","0.24","0.35","0.58","0.29","0.47","0.55","0.99","1.02","1.06","0.48","1.02","1.56","2.17","1.02","2.12","2.99","2.89","2.1","4.3","4.06","3.86","1.39","4.35","3.51","3.4"
"pretax_income_per_share","","","","","","","0.04","0.01","-0.02","0.01","0.02","0.01","0.02","0.06","0.04","0.05","0.03","0.09","0.06","0.05","0.05","0.08","0.08","0.09","0.09","0.13","0.12","0.13","0.14","0.19","0.17","0.2","0.26","0.29","0.25","0.15","-0.02","0.03","0.03","0.04","","0.11","0.12","0.17","0.21","0.27","0.23","0.11","0.09","0.09","0.1","0.05","0.09","0.12","0.18","0.21","0.5","0.03","0.26","0.29","0.67","0.95","0.84","0.26","0.88","1.11","2.24","0.33","1.76","2.28","1.89","1.11","4.47","3.5","3.65","1.21","4.37","3.61","3.6"
"fcf_per_share","0.02","0.01","0.02","0.02","0.09","0.07000000000000001","0.1","-0.16","0.07000000000000001","-0.07000000000000001","0.02","0.05","0.03","0.01","0.28","-0.18","-0.04","","0.41","0.16","0.11","-0.1","0.34","0.2","0.14","0.16","0.17","0.22","0.18","0.14","0.09","0.22","0.26","0.21","0.09","0.14","0.04","0.04","-0.03","-0.09","-0.06","0.06","0.06","0.04","0.05","0.08","-0.14","-0.12","-0.32","-0.48","-0.53","-0.59","-0.54","-0.54","-1.12","-1.4","-0.89","-1.34","-1.01","-1.14","-0.61","-1.21","-1.61","-2.89","-0.97","-1.29","-1.21","-3.48","0.36","1.98","2.54","-0.63","1.53","-0.38","-0.19","-1.25","1.77","0.03","1.05"
"book_value_per_share","0.29","0.23","0.24","0.32","0.32","0.27","0.32","0.35","0.41","0.36","0.39","0.48","0.51","0.76","0.79","0.84","0.87","0.91","0.91","0.92","0.78","0.87","0.75","0.82","0.8100000000000001","0.78","0.57","0.51","0.38","0.46","","0.76","0.73","0.89","1.03","1.66","1.71","1.67","1.74","1.8","1.93","2.61","2.82","3.11","3.43","3.73","3.99","4.3","4.4","4.66","4.95","5.07","5.29","5.51","5.77","6.09","6.68","6.97","7.44","7.99","8.93","9.960000000000001","11.09","11.61","12.62","13.5","15.2","16.8","18.58","20.56","22.71","24.3","28.28","30.46","33.66","34.77","38.73","42.38","45.58"
"tangible_book_per_share","0.27","0.22","0.23","0.31","0.31","0.26","0.32","0.34","0.41","0.36","0.39","0.36","0.35","0.75","0.6","0.63","0.64","0.67","0.67","0.63","0.46","0.87","0.46","0.59","0.8100000000000001","0.54","0.31","0.51","0.38","0.22","","0.76","0.73","-0.24","-0.48","-1.04","1.71","1.67","-1.58","-1.84","-1.81","-1.36","-1.41","-1.77","-1.63","-1.71","-2.1","-2.12","-3.23","-3.69","-3.94","-4.77","-6.72","-7.59","-9.460000000000001","-10.44","-11.35","-13.37","-14.33","-15.15","-16.2","-17.26","-18.58","-21.53","-33.6","-35.03","-36.26","-37.49","-37.25","-34.85","-32.38","-31.45","-28.88","-29.5","-30.03","-33.06","-30.13","-29.89","-27.2"
"payout_ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revenue_growth","0.82","0.74","0.77","0.8","0.8","0.9","0.96","0.7","0.52","0.36","0.22","0.4","0.47","0.46","0.48","0.44","0.36","0.27","0.15","0.09","0.07000000000000001","0.11","0.16","0.19","0.21","0.21","0.24","0.24","0.25","0.27","0.31","0.34","0.46","0.52","0.49","0.47","0.21","0.13","0.1","0.08","0.18","0.2","0.22","0.24","0.24","0.25","0.27","0.26","0.24","0.23","0.23","0.23","0.24","0.28","0.32","0.36","0.35","0.32","0.3","0.33","0.4","0.4","0.34","0.27","0.22","0.26","0.31","0.31","0.28","0.25","0.23","0.22","0.24","0.19","0.16","0.16","0.1","0.09","0.06"
