Symbol,revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
F,40815.0,9760.0,806.0,896.0,896.0,1832.0,1991.111,19237.0,195821.0,63151.0,38151.0,48626.0,289324.0,103453.0,276922.0,12402.0,289324.0,901.0,7775.0,-1339.0,3359.0,-1339.0,6436.0,12402.0,5676.0,0.24,23.33,1830.34,2003-03
F,40670.0,8986.0,2339.0,417.0,417.0,1832.0,1895.455,17684.0,212619.0,64634.0,39634.0,47006.0,306189.0,108496.0,292436.0,13753.0,306189.0,412.0,6047.0,-1913.0,2339.0,-1913.0,4134.0,13753.0,6823.0,0.22,22.26,1831.97,2003-06
F,36742.0,8361.0,1931.0,-19.0,-19.0,1831.0,1831.0,27887.0,217232.0,67077.0,42077.0,43966.0,310328.0,106777.0,301549.0,8779.0,310328.0,-25.0,5637.0,-2362.0,1931.0,-2362.0,3275.0,8779.0,1726.0,0.23,35.35,1760.19,2003-09
F,46290.0,7664.0,660.0,-793.0,-793.0,1832.0,1894.118,23208.0,215942.0,73554.0,43506.0,32949.0,299397.0,49970.0,287087.0,12310.0,299397.0,-385.0,-2179.0,-1925.0,660.0,-1925.0,-4104.0,12310.0,5310.0,0.17,24.32,1760.19,2003-12
F,44723.0,10669.0,4497.0,1952.0,1952.0,1824.299,2076.596,18190.0,174032.0,71280.0,41168.0,90536.0,312909.0,60330.0,299287.0,13622.0,312909.0,1952.0,4868.0,-2216.0,4497.0,-2216.0,2652.0,13622.0,6449.0,0.24,22.97,1759.99,2004-03
F,42873.0,9249.0,3155.0,1165.0,1117.0,1745.313,1959.649,15648.0,207797.0,72437.0,42325.0,36305.0,293613.0,54652.0,279267.0,14346.0,293613.0,1165.0,7644.0,-439.0,3155.0,-439.0,7205.0,14346.0,7160.0,0.22,20.47,1758.94,2004-06
F,39121.0,8165.0,2145.0,266.0,216.0,1829.0,1829.0,17416.0,204914.0,73016.0,42904.0,33846.0,288678.0,54248.0,273796.0,14882.0,288678.0,266.0,7375.0,-1704.0,2145.0,-1704.0,5671.0,14882.0,7868.0,0.21,19.4,1830.0,2004-09
F,45599.0,8478.0,2752.0,-345.0,-345.0,1461.217,1755.58,22831.0,190854.0,75562.0,44549.0,52061.0,293858.0,93069.0,276936.0,16922.0,293858.0,-345.0,2111.0,1910.0,2752.0,1910.0,4021.0,16922.0,10528.0,0.19,17.37,1831.0,2004-12
F,45136.0,8016.0,1741.0,1212.0,1212.0,1836.364,2020.0,23345.0,195390.0,74408.0,43395.0,34792.0,280588.0,55561.0,264072.0,16516.0,280588.0,1212.0,5276.0,-1561.0,1741.0,-1561.0,3715.0,16516.0,9505.0,0.18,16.99,1840.0,2005-03
F,44548.0,7835.0,1725.0,946.0,946.0,1854.902,2012.766,30133.0,194265.0,73294.0,42281.0,33609.0,276834.0,97764.0,261825.0,15009.0,276834.0,946.0,9060.0,-2011.0,1725.0,-2011.0,7049.0,15009.0,8330.0,0.18,18.44,1853.05,2005-06
F,40510.0,7039.0,874.0,-576.0,-576.0,1858.065,1858.065,28200.0,173544.0,72900.0,41887.0,46792.0,268295.0,94373.0,253250.0,15045.0,268295.0,-644.0,5011.0,-4073.0,874.0,-4073.0,938.0,15045.0,8973.0,0.17,17.83,1858.0,2005-09
F,46264.0,7130.0,1073.0,-74.0,-74.0,1844.976,1844.976,28406.0,168741.0,73293.0,40676.0,54097.0,269459.0,95957.0,254895.0,14564.0,269459.0,714.0,1094.0,128.0,1073.0,128.0,1222.0,14564.0,8619.0,0.15,18.5,1864.14,2005-12
F,40789.0,4088.0,-506.0,-1423.0,-1423.0,1872.368,1872.368,21179.0,194194.0,73558.0,40941.0,27869.0,269076.0,99517.0,255905.0,13171.0,269076.0,-1423.0,-30.0,-1838.0,-506.0,-1838.0,-1868.0,13171.0,7099.0,0.1,20.43,1908.0,2006-03
F,41878.0,5697.0,1074.0,-317.0,-317.0,1864.706,1864.706,27985.0,201516.0,74256.0,41639.0,27401.0,276948.0,102068.0,261275.0,15673.0,276948.0,-325.0,9722.0,-1565.0,1074.0,-1565.0,8157.0,15673.0,9281.0,0.14,17.67,1908.0,2006-06
F,37095.0,-457.0,-4946.0,-5248.0,-5248.0,1873.0,1873.0,25511.0,168386.0,101404.0,68787.0,23896.0,267465.0,100103.0,257287.0,10178.0,267465.0,-5204.0,7285.0,-1839.0,-4946.0,-1839.0,5446.0,10178.0,3782.0,-0.01,26.28,1908.0,2006-09
F,40303.0,1775.0,-3667.0,-5625.0,-5625.0,1726.0,1726.0,28896.0,210348.0,71038.0,36055.0,26392.0,279196.0,75676.0,281502.0,-2306.0,279196.0,-5545.0,-7366.0,-1606.0,-3667.0,-1606.0,-8972.0,-2306.0,-5917.0,0.04,-121.07,1892.54,2006-12
F,43005.0,8231.0,2267.0,-282.0,-282.0,1880.0,1880.0,26867.0,180256.0,76156.0,37638.0,48008.0,272210.0,104098.0,274787.0,-2577.0,272210.0,-282.0,984.0,-1296.0,2267.0,-1296.0,-312.0,-2577.0,-8885.0,0.19,-105.63,1880.15,2007-03
F,44242.0,7939.0,2987.0,750.0,750.0,1875.0,2419.355,32000.0,186250.0,75821.0,37303.0,49321.0,279218.0,106466.0,279913.0,-695.0,279218.0,716.0,4249.0,-1341.0,2987.0,-1341.0,2908.0,-695.0,-7039.0,0.18,-401.75,2099.59,2007-06
F,41078.0,7840.0,2936.0,-380.0,-380.0,2003.0,2003.0,27437.0,214030.0,37831.0,37831.0,15154.0,276163.0,107228.0,273606.0,2557.0,276163.0,-318.0,8025.0,-1578.0,2936.0,-1578.0,6447.0,2557.0,-3930.0,0.19,108.0,2110.21,2007-09
F,44116.0,5664.0,323.0,-2811.0,-2811.0,2126.0,2126.0,35283.0,212090.0,72800.0,36239.0,26013.0,279264.0,76047.0,272215.0,7049.0,279264.0,-2711.0,3816.0,-1807.0,323.0,-1807.0,2009.0,7049.0,4980.0,0.13,39.62,2207.0,2007-12
F,43292.0,7836.0,2398.0,70.0,70.0,2188.0,2208.0,33751.0,178232.0,73568.0,37007.0,65610.0,282913.0,96822.0,274336.0,8577.0,282913.0,191.0,1056.0,-1490.0,2398.0,-1490.0,-434.0,8577.0,6513.0,0.18,32.99,2219.0,2008-03
F,41102.0,1108.0,-6795.0,-8697.0,-8697.0,2237.0,2237.0,30066.0,178817.0,68710.0,32149.0,52287.0,265297.0,96597.0,265521.0,-224.0,265297.0,-8616.0,1105.0,-1638.0,-6795.0,-1638.0,-533.0,-224.0,-2268.0,0.03,-1184.36,2269.0,2008-06
F,31746.0,6745.0,2170.0,-161.0,-161.0,2279.0,2279.0,24894.0,191594.0,30253.0,30253.0,15348.0,242065.0,83289.0,242596.0,-531.0,242065.0,-110.0,1108.0,-1747.0,2170.0,-1747.0,-639.0,-531.0,-2336.0,0.21,-455.87,2375.0,2008-09
F,28974.0,2323.0,-2133.0,-5978.0,-5978.0,2387.0,2387.0,22049.0,170856.0,58695.0,24143.0,21454.0,218298.0,64488.0,232825.0,-14527.0,218298.0,-6026.0,-3448.0,-1821.0,-2133.0,-1821.0,-5269.0,-14527.0,-14773.0,0.08,-15.03,2253.61,2008-12
F,24390.0,2977.0,-1117.0,-1427.0,-1427.0,2397.0,2397.0,21093.0,159341.0,23779.0,23779.0,18051.0,203134.0,85026.0,219611.0,-16477.0,203134.0,-1435.0,4016.0,-1069.0,-1117.0,-1069.0,2947.0,-16477.0,-16704.0,0.12,-12.33,2873.25,2009-03
F,26810.0,3464.0,-65.0,2261.0,2261.0,3002.0,3352.0,24011.0,155484.0,24801.0,24801.0,17928.0,200190.0,86333.0,209608.0,-9418.0,200190.0,2256.0,5351.0,-977.0,-65.0,-977.0,4374.0,-9418.0,-9653.0,0.13,-21.26,3236.0,2009-06
F,30272.0,5455.0,2450.0,997.0,997.0,3259.0,3587.0,25798.0,156638.0,24812.0,24812.0,19887.0,203106.0,87893.0,210376.0,-7270.0,203106.0,1013.0,5714.0,-944.0,2450.0,-944.0,4770.0,-7270.0,-7495.0,0.18,-27.94,3315.0,2009-09
F,34811.0,5521.0,2299.0,886.0,886.0,3306.0,3672.0,20894.0,130408.0,56045.0,22637.0,19193.0,192040.0,49696.0,199822.0,-7782.0,192040.0,878.0,396.0,-1069.0,2299.0,-1069.0,-673.0,-7782.0,-7947.0,0.16,-24.68,3337.0,2009-12
F,31566.0,6427.0,3338.0,2085.0,2085.0,3365.0,4569.0,24356.0,149111.0,22826.0,22826.0,17295.0,191968.0,79193.0,197405.0,-5437.0,191968.0,2085.0,2683.0,-1068.0,3338.0,-1068.0,1615.0,-5437.0,-5629.0,0.2,-35.31,3416.0,2010-03
F,35067.0,7239.0,4233.0,2599.0,2599.0,3411.0,4610.0,18322.0,139485.0,22210.0,22210.0,15349.0,179750.0,75207.0,183291.0,-3541.0,179750.0,2596.0,3774.0,-959.0,4233.0,-959.0,2815.0,-3541.0,-3724.0,0.21,-50.76,3446.0,2010-06
F,29893.0,5660.0,3042.0,1687.0,1687.0,3446.0,4174.0,17992.0,142867.0,22956.0,22956.0,8456.0,177078.0,76868.0,178818.0,-1740.0,177078.0,1688.0,3781.0,-919.0,3042.0,-919.0,2862.0,-1740.0,-1863.0,0.19,-101.77,3484.0,2010-09
F,32428.0,832.0,-2189.0,190.0,190.0,3572.0,4292.0,14805.0,119938.0,57079.0,23179.0,7224.0,164687.0,75091.0,165329.0,-642.0,164687.0,188.0,1239.0,-1146.0,-2189.0,-1146.0,93.0,-642.0,-744.0,0.03,-256.52,3778.0,2010-12
F,33114.0,6338.0,3604.0,2551.0,2551.0,3771.0,4266.0,21318.0,133222.0,23407.0,23407.0,8139.0,167391.0,78238.0,164926.0,2465.0,167391.0,2556.0,2497.0,-929.0,3604.0,-929.0,1568.0,2465.0,2367.0,0.19,67.91,3813.0,2011-03
F,35527.0,6274.0,3346.0,2398.0,2398.0,3799.0,4102.0,17472.0,133208.0,23263.0,23263.0,8919.0,168086.0,78159.0,162736.0,5350.0,168086.0,2400.0,3729.0,-1093.0,3346.0,-1093.0,2636.0,5350.0,5247.0,0.18,31.42,3815.0,2011-06
F,33047.0,5430.0,2569.0,1649.0,1649.0,3800.0,4031.0,16460.0,129555.0,22304.0,22304.0,8173.0,162740.0,76925.0,156714.0,6026.0,162740.0,1652.0,3793.0,-1113.0,2569.0,-1113.0,2680.0,6026.0,5926.0,0.16,27.01,3816.0,2011-09
F,33917.0,338.0,-2008.0,13615.0,13615.0,3802.0,4042.0,17148.0,120208.0,68083.0,35209.0,19895.0,178348.0,73038.0,163277.0,15071.0,178348.0,13614.0,-235.0,-1158.0,-2008.0,-1158.0,-1393.0,15071.0,14971.0,0.01,11.83,3816.0,2011-12
F,32445.0,4685.0,1823.0,1396.0,1396.0,3803.0,4055.0,15244.0,136335.0,23150.0,23150.0,19529.0,182075.0,50969.0,165425.0,16650.0,182075.0,1398.0,2075.0,-1093.0,1823.0,-1093.0,982.0,16650.0,16553.0,0.14,10.94,3834.0,2012-03
F,33211.0,4543.0,1583.0,1040.0,1040.0,3815.0,4014.0,15101.0,136320.0,22808.0,22808.0,19075.0,181236.0,77305.0,164157.0,17079.0,181236.0,1038.0,3904.0,-1191.0,1583.0,-1191.0,2713.0,17079.0,16984.0,0.14,10.61,3835.0,2012-06
F,32172.0,4758.0,1784.0,1631.0,1631.0,3814.0,3972.0,13539.0,138929.0,24347.0,24347.0,18599.0,184680.0,51630.0,165474.0,19206.0,184680.0,1633.0,3427.0,-1319.0,1784.0,-1319.0,2108.0,19206.0,19117.0,0.15,9.62,3837.0,2012-09
F,35731.0,3419.0,609.0,1546.0,1546.0,3827.0,4009.0,15659.0,125174.0,73080.0,40245.0,20654.0,189406.0,73428.0,173095.0,16311.0,189406.0,1543.0,-361.0,-1885.0,609.0,-1885.0,-2246.0,16311.0,16224.0,0.1,11.61,3946.0,2012-12
F,35649.0,4938.0,1774.0,1611.0,1611.0,3923.0,4072.0,13820.0,126542.0,43060.0,43060.0,20033.0,193010.0,74675.0,175048.0,17962.0,193010.0,1612.0,211.0,-1483.0,1774.0,-1483.0,-1272.0,17962.0,17878.0,0.14,10.75,3960.0,2013-03
F,37923.0,4694.0,1438.0,1233.0,1233.0,3933.0,4084.0,13362.0,128519.0,45714.0,45714.0,18672.0,196210.0,81637.0,176661.0,19549.0,196210.0,1234.0,6078.0,-1594.0,1438.0,-1594.0,4484.0,19549.0,19467.0,0.12,10.04,3970.0,2013-06
F,35775.0,4983.0,1702.0,1272.0,1272.0,3942.0,4096.0,14752.0,131650.0,47795.0,47795.0,18074.0,201071.0,83287.0,180232.0,20839.0,201071.0,1273.0,3840.0,-1582.0,1702.0,-1582.0,2258.0,20839.0,20753.0,0.14,9.65,3982.0,2013-09
F,37570.0,9252.0,7895.0,7837.0,7837.0,3941.0,4090.0,14468.0,131585.0,79076.0,47600.0,19230.0,202179.0,74131.0,175703.0,26476.0,202179.0,7827.0,315.0,-1938.0,7895.0,-1938.0,-1623.0,26476.0,26391.0,0.25,7.64,3984.0,2013-12
F,35876.0,4177.0,766.0,989.0,989.0,3946.0,4094.0,12983.0,135264.0,48471.0,48471.0,19365.0,207082.0,83617.0,179944.0,27138.0,207082.0,989.0,2220.0,-1516.0,766.0,-1516.0,704.0,27138.0,27138.0,0.12,7.63,3995.0,2014-03
F,37411.0,5481.0,1901.0,1311.0,1311.0,3940.0,4088.0,11573.0,137913.0,51363.0,51363.0,18313.0,210945.0,87505.0,183801.0,27144.0,210945.0,1315.0,4750.0,-1912.0,1901.0,-1912.0,2838.0,27144.0,27144.0,0.15,7.77,3998.0,2014-06
F,34920.0,4050.0,492.0,835.0,835.0,3861.0,4010.0,13320.0,134284.0,53058.0,53058.0,18390.0,208835.0,86844.0,182331.0,26504.0,208835.0,833.0,5369.0,-1881.0,492.0,-1881.0,3488.0,26504.0,26504.0,0.12,7.88,4005.0,2014-09
F,35870.0,5344.0,4051.0,-1904.0,-1904.0,3903.0,3903.0,10757.0,131839.0,82477.0,53343.0,19943.0,208615.0,77119.0,183808.0,24807.0,208615.0,-1907.0,2168.0,-2154.0,4051.0,-2154.0,14.0,24807.0,24674.0,0.15,8.41,4009.0,2014-12
F,33900.0,4781.0,1243.0,1153.0,1153.0,3963.0,4001.0,12368.0,134791.0,53526.0,53526.0,20429.0,212374.0,84408.0,187311.0,25063.0,212374.0,1154.0,2413.0,-1800.0,1243.0,-1800.0,613.0,25063.0,25063.0,0.14,8.47,4029.0,2015-03
F,37263.0,6937.0,4393.0,2160.0,2160.0,3974.0,4007.0,12897.0,136227.0,56898.0,56898.0,19451.0,216045.0,86159.0,189597.0,26448.0,216045.0,2161.0,7623.0,-3533.0,4393.0,-3533.0,4090.0,26448.0,26448.0,0.19,8.17,4030.0,2015-06
F,38144.0,6931.0,4545.0,2192.0,2192.0,3969.0,3999.0,14686.0,139924.0,57044.0,57044.0,18958.0,219431.0,85927.0,191853.0,27578.0,219431.0,2192.0,14078.0,-5358.0,4545.0,-5358.0,8720.0,27578.0,27578.0,0.18,7.96,4031.0,2015-09
F,40251.0,5816.0,2455.0,1868.0,1868.0,3972.0,4002.0,14272.0,102587.0,85059.0,57256.0,61728.0,224925.0,82336.0,196174.0,28751.0,224925.0,1864.0,2148.0,-1838.0,2455.0,-1838.0,310.0,28751.0,28621.0,0.14,7.82,4031.0,2015-12
F,37718.0,7201.0,4511.0,2452.0,2452.0,3970.0,3996.0,15917.0,154775.0,59398.0,59398.0,19295.0,237288.0,95714.0,207572.0,29716.0,237288.0,2455.0,4149.0,-1511.0,4511.0,-1511.0,2638.0,29716.0,29716.0,0.19,7.99,4045.0,2016-03
F,39485.0,6963.0,4179.0,1970.0,1970.0,3973.0,3997.0,17063.0,110767.0,61408.0,61408.0,64154.0,239678.0,89408.0,208429.0,31249.0,239678.0,1972.0,11834.0,-3206.0,4179.0,-3206.0,8628.0,31249.0,31249.0,0.18,7.67,4046.0,2016-06
F,35943.0,5275.0,2618.0,957.0,957.0,3974.0,4000.0,13340.0,103515.0,61453.0,61453.0,66200.0,234963.0,89188.0,203368.0,31595.0,234963.0,961.0,16994.0,-4912.0,2618.0,-4912.0,12082.0,31595.0,31595.0,0.15,7.44,4047.0,2016-09
F,38654.0,6166.0,3325.0,-790.0,-790.0,3976.0,4005.0,15905.0,108461.0,88705.0,60901.0,65037.0,237951.0,90281.0,208668.0,29283.0,237951.0,-788.0,2798.0,-2080.0,3325.0,-2080.0,718.0,29283.0,29035.0,0.16,8.13,3931.0,2016-12
F,39146.0,6446.0,3682.0,1592.0,1592.0,3976.0,3999.0,17823.0,113228.0,60582.0,60582.0,66642.0,244094.0,91304.0,213356.0,30738.0,244094.0,1599.0,4336.0,-1706.0,3682.0,-1706.0,2630.0,30738.0,30738.0,0.16,7.94,4055.0,2017-03
F,39853.0,4308.0,1552.0,2047.0,2047.0,3977.0,3996.0,16223.0,113539.0,62391.0,62391.0,68298.0,247469.0,94299.0,215110.0,32359.0,247469.0,2055.0,5615.0,-1558.0,1552.0,-1558.0,4057.0,32359.0,32359.0,0.11,7.65,4057.0,2017-06
F,36451.0,3917.0,998.0,1572.0,1572.0,3972.0,3996.0,17589.0,112732.0,63474.0,63474.0,71723.0,251273.0,94352.0,217913.0,33360.0,251273.0,1579.0,4998.0,-1672.0,998.0,-1672.0,3326.0,33360.0,33360.0,0.11,7.53,4057.0,2017-09
F,41326.0,13002.0,9914.0,2520.0,2520.0,3975.0,4004.0,18492.0,116801.0,93424.0,63562.0,74760.0,258496.0,94600.0,222792.0,35704.0,258496.0,2524.0,3147.0,-2113.0,9914.0,-2113.0,1034.0,35704.0,35416.0,0.31,7.24,4058.0,2017-12
F,41959.0,6206.0,3459.0,1736.0,1736.0,3974.0,3997.0,17940.0,123264.0,64449.0,64449.0,76030.0,267230.0,99878.0,230696.0,36534.0,267230.0,1745.0,3514.0,-1779.0,3459.0,-1779.0,1735.0,36534.0,36260.0,0.15,7.31,4069.0,2018-03
F,38920.0,5726.0,2948.0,1066.0,1066.0,3977.0,3999.0,16828.0,115025.0,64945.0,64945.0,74749.0,258079.0,94861.0,221511.0,36568.0,258079.0,1069.0,4972.0,-1909.0,2948.0,-1909.0,3063.0,36568.0,36295.0,0.15,7.06,4070.0,2018-06
F,37666.0,6098.0,3216.0,991.0,991.0,3976.0,4000.0,18562.0,114843.0,65302.0,65302.0,75690.0,258966.0,94750.0,222248.0,36718.0,258966.0,993.0,5179.0,-1981.0,3216.0,-1981.0,3198.0,36718.0,36445.0,0.16,7.05,4070.0,2018-09
F,41793.0,6039.0,3043.0,-116.0,-116.0,3968.0,3995.0,16718.0,114649.0,95540.0,65297.0,73443.0,256540.0,95569.0,220474.0,36066.0,256540.0,-112.0,1357.0,-2116.0,3043.0,-2116.0,-759.0,36066.0,35624.0,0.14,7.11,4071.0,2018-12
F,40342.0,6400.0,3557.0,1146.0,1146.0,3973.0,3997.0,20848.0,121195.0,65374.0,65374.0,73843.0,263281.0,99237.0,226712.0,36569.0,263281.0,1183.0,3544.0,-1633.0,5699.0,-1633.0,1911.0,36569.0,36305.0,0.16,7.2,4082.0,2019-03
F,38853.0,5196.0,2471.0,148.0,148.0,3984.0,4013.0,22117.0,118351.0,66379.0,66379.0,74552.0,262184.0,98334.0,226048.0,36136.0,262184.0,150.0,6463.0,-1920.0,4730.0,-1920.0,4543.0,36136.0,35871.0,0.13,7.26,4082.0,2019-06
F,36990.0,4708.0,2107.0,425.0,425.0,3970.0,4007.0,20523.0,115754.0,64856.0,64856.0,74633.0,258157.0,99087.0,222770.0,35387.0,258157.0,423.0,4732.0,-1805.0,4125.0,-1805.0,2927.0,35387.0,35096.0,0.13,7.3,4082.0,2019-09
F,39715.0,4903.0,1911.0,-1672.0,-1672.0,3960.0,3998.0,17504.0,114047.0,96719.0,65699.0,75806.0,258537.0,98132.0,225307.0,33230.0,258537.0,-1672.0,2900.0,-2274.0,3982.0,-2274.0,626.0,33230.0,32764.0,0.12,7.78,3964.93,2019-12
F,34320.0,3798.0,1366.0,-1993.0,-1993.0,3963.0,3963.0,25971.0,124276.0,63808.0,63808.0,73513.0,264150.0,94494.0,234452.0,29698.0,264150.0,-1993.0,-473.0,-1780.0,3508.0,-1780.0,-2253.0,29698.0,29420.0,0.11,8.89,4094.0,2020-03
F,19371.0,1439.0,-526.0,1117.0,1117.0,3975.0,3992.0,30989.0,124111.0,62992.0,62992.0,77358.0,269366.0,92780.0,238511.0,30855.0,269366.0,1118.0,9115.0,-1175.0,1544.0,-1175.0,7940.0,30855.0,30601.0,0.07,8.73,4096.0,2020-06
F,37501.0,6278.0,4012.0,2385.0,2385.0,3976.0,4005.0,24263.0,111765.0,64013.0,64013.0,79166.0,259943.0,93159.0,226782.0,33161.0,259943.0,2390.0,11088.0,-1256.0,5532.0,-1256.0,9832.0,33161.0,32903.0,0.17,7.84,4096.0,2020-09
F,35952.0,2877.0,-653.0,-2788.0,-2788.0,3979.0,3979.0,25243.0,116744.0,97882.0,65034.0,80180.0,267261.0,97192.0,236450.0,30811.0,267261.0,-2791.0,4539.0,-1531.0,1072.0,-1531.0,3008.0,30811.0,30409.0,0.08,8.67,4096.0,2020-12
F,36228.0,6931.0,4088.0,3262.0,3262.0,3980.0,4016.0,21826.0,113932.0,64172.0,64172.0,77455.0,260819.0,94249.0,226845.0,33974.0,260819.0,3262.0,4492.0,-1368.0,5830.0,-1368.0,3124.0,33974.0,33408.0,0.19,7.68,4108.85,2021-03
