revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
54.0,-383.0,-2454.0,-2461.0,-2461.0,900.0,900.0,18133.0,18559.0,3644.0,3411.0,324.0,22294.0,1313.0,2780.0,19514.0,22294.0,-2461.0,-1086.0,-456.0,-2341.0,-456.0,-1542.0,19514.0,19514.0,-7.09,1.14,900.0,2021-12
95.0,-502.0,-1579.0,-1593.0,-1593.0,901.0,901.0,16432.0,17046.0,4038.0,3666.0,585.0,21297.0,1524.0,3037.0,18260.0,21297.0,-1593.0,-1034.0,-418.0,-1461.0,-418.0,-1452.0,18260.0,18260.0,-5.28,1.17,901.0,2022-03
364.0,-704.0,-1708.0,-1712.0,-1712.0,908.0,908.0,14923.0,15732.0,4335.0,3812.0,627.0,20171.0,1753.0,3303.0,16868.0,20171.0,-1712.0,-1204.0,-359.0,-1547.0,-359.0,-1563.0,16868.0,16868.0,-1.93,1.2,916.0,2022-06
536.0,-917.0,-1774.0,-1724.0,-1724.0,918.0,918.0,13272.0,14424.0,4647.0,3959.0,640.0,19023.0,2109.0,3686.0,15337.0,19023.0,-1724.0,-1368.0,-298.0,-1600.0,-298.0,-1666.0,15337.0,15337.0,-1.71,1.24,916.191,2022-09
